segment;change_rate
1;0.3333333333333333
2;0.3333333333333333
3;0.3333333333333333
4;0.0
5;0.4
6;0.16666666666666666
7;0.2857142857142857
8;0.8571428571428571
9;0.6666666666666666
10;0.6666666666666666
11;0.6666666666666666
12;0.3333333333333333
13;1.0
14;0.2
15;0.6
16;0.5
17;0.5
18;0.6
19;0.2
20;0.5
21;0.5
22;0.5
23;0.8
24;0.4
25;0.8
26;0.3333333333333333
27;0.25
28;0.5
29;0.5
30;0.25
31;0.3333333333333333
32;0.5
33;0.2
34;0.3333333333333333
35;0.0
36;0.16666666666666666
37;0.7142857142857143
38;0.5
39;0.75
40;0.6666666666666666
41;0.3333333333333333
42;0.75
43;0.8
44;0.25
45;0.25
46;0.75
47;0.75
48;0.2
49;0.6666666666666666
50;0.6
51;0.2
