name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ALMA,0.003663003663003663,6,0.6363636363636364,0.6363636363636364,27,0.24655896459706175,1.5714285714285714,1.5714285714285714,8,73,1117,58,5907,12.0,11.0,10.0,10.0,6.0,8.0,8.0,7.0,9.0,0.25877458475338283,11.0,11.0,11.0,8.0,9.5,9.0
MICHALSKI,0.003663003663003663,7,0.6666666666666666,0.6666666666666666,34,0.2912216426657278,1.5,1.5,8,41,310,39,1680,9.0,7.0,10.0,6.0,4.0,8.0,11.0,11.0,8.25,0.31160586368955623,9.0,13.0,8.0,11.0,9.5,9.0
ROBERT,0.09340659340659341,12,0.875,0.875,70,0.4582664855424366,1.1428571428571428,1.1428571428571428,28,321,5650,241,30794,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.375,0.09300297614285562,1.0,3.0,1.0,1.0,1.0,1.0
AUGUSTE,0.003663003663003663,7,0.6666666666666666,0.6666666666666666,34,0.2912216426657278,1.5,1.5,8,42,429,36,2272,9.0,7.0,10.0,6.0,4.0,8.0,10.0,10.0,8.0,0.27548658250966984,8.0,12.0,8.0,10.0,9.0,8.0
LENORE,0.008974358974358975,8,0.6666666666666666,0.6666666666666666,39,0.16026129518778848,1.5,1.5,15,112,1751,79,9429,7.0,7.0,7.0,4.0,8.0,5.0,5.0,5.0,6.0,0.1767766952966369,6.0,6.0,6.0,5.0,5.5,5.0
FRAU MÜHLINGK,0.0,6,0.6086956521739131,0.6086956521739131,21,0.08350464887589573,1.6428571428571428,1.6428571428571428,6,21,255,18,1384,12.0,13.0,13.0,13.0,12.0,13.0,12.0,12.0,12.5,0.0668153104781061,13.0,1.0,13.0,12.0,12.5,13.0
FRAU HEINECKE,0.07326007326007326,9,0.7368421052631579,0.7368421052631579,58,0.46806658712552907,1.3571428571428572,1.3571428571428572,22,190,3107,144,16433,5.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,0.1889822365046136,2.0,7.0,2.0,2.0,2.0,2.0
CURT,0.008974358974358975,8,0.6666666666666666,0.6666666666666666,34,0.10642696864756945,1.5,1.5,12,92,841,82,4625,7.0,7.0,7.0,6.0,11.0,6.0,6.0,9.0,7.375,0.2209708691207961,7.0,9.0,10.0,7.0,8.5,7.0
LOTHAR,0.0043956043956043965,7,0.6363636363636364,0.6363636363636364,22,0.07725646557993937,1.5714285714285714,1.5714285714285714,8,62,970,41,5390,9.0,11.0,9.0,12.0,13.0,8.0,9.0,8.0,9.875,0.23563648607851156,12.0,10.0,12.0,9.0,10.5,12.0
FRAU HEBENSTREIT,0.0,2,0.45161290322580644,0.45161290322580644,3,0.03161279277303053,2.2142857142857144,2.2142857142857144,2,16,168,12,922,15.0,15.0,13.0,15.0,15.0,15.0,14.0,14.0,14.5,0.0944911182523068,15.0,4.0,15.0,14.0,14.5,14.0
HEINECKE,0.07326007326007326,9,0.7368421052631579,0.7368421052631579,54,0.4488395241494753,1.3571428571428572,1.3571428571428572,18,140,1844,109,9900,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.875,0.10431537004953502,4.0,5.0,3.0,4.0,3.5,4.0
HUGO,0.0,5,0.5833333333333334,0.5833333333333334,14,0.03805175917510444,1.7142857142857142,1.7142857142857142,5,14,118,12,645,14.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,14.125,0.08010874305770696,14.0,2.0,14.0,15.0,14.5,14.0
TRAST,0.09505494505494506,11,0.8235294117647058,0.8235294117647058,38,0.22105926059907274,1.2142857142857144,1.2142857142857144,18,162,4223,106,23782,3.0,3.0,2.0,5.0,7.0,3.0,3.0,2.0,3.5,0.21128856368212914,3.0,8.0,3.0,3.0,3.0,3.0
MÜHLINGK,0.11336996336996336,12,0.875,0.875,33,0.14624991560493106,1.1428571428571428,1.1428571428571428,11,92,1530,71,8533,1.0,1.0,1.0,9.0,9.0,7.0,6.0,6.0,5.0,0.43813729094233206,5.0,14.0,5.0,6.0,5.5,5.0
WILHELM,0.06776556776556777,11,0.8235294117647058,0.8235294117647058,23,0.12799084602670904,1.2142857142857144,1.2142857142857144,7,17,242,14,1348,3.0,3.0,6.0,11.0,10.0,12.0,13.0,13.0,8.875,0.5321683239352001,10.0,15.0,6.0,13.0,9.5,9.0
