name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ANNINA,0.08928571428571427,33,1.0,1.0,43,0.3237100886449182,1.0,1.0,3,42,547,94,2970,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.125,0.2625212576426635,3.0,8.0,1.0,4.0,2.5,3.0
DIE FANINALSCHE DIENERSCHAFT,0.0,11,0.6,0.6,11,0.09614666000598009,1.6666666666666667,1.6666666666666667,1,1,57,14,326,30.0,30.0,9.0,30.0,30.0,9.0,26.0,16.0,22.5,1.1989578808281798,33.0,31.0,30.0,22.0,26.0,32.0
DIE MUSIKANTEN,0.0,16,0.66,0.66,16,0.1299425183386422,1.5151515151515151,1.5151515151515151,1,1,5,1,29,9.0,9.0,9.0,9.0,17.0,9.0,26.0,32.0,15.0,1.1514742103681077,28.0,27.0,17.0,32.0,24.5,30.0
KOMMISSARIUS,0.0,16,0.66,0.66,16,0.1299425183386422,1.5151515151515151,1.5151515151515151,1,28,343,48,1792,9.0,9.0,9.0,9.0,17.0,9.0,7.0,7.0,9.5,0.39528470752104744,11.0,9.0,17.0,8.0,12.5,11.0
DIE DREI ADELIGEN TÖCHTER,0.0,16,0.66,0.66,16,0.12332620451027342,1.5151515151515151,1.5151515151515151,1,1,8,2,51,9.0,9.0,9.0,9.0,19.0,9.0,26.0,29.0,14.875,1.0699580682705014,27.0,26.0,19.0,31.0,25.0,31.0
OCTAVIAN,0.08928571428571427,33,1.0,1.0,43,0.3237100886449182,1.0,1.0,3,151,1911,273,9483,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.375,0.09300297614285562,2.0,2.0,1.0,2.0,1.5,2.0
DIE DREI WAISEN,0.0,16,0.66,0.66,16,0.12332620451027342,1.5151515151515151,1.5151515151515151,1,2,33,6,194,9.0,9.0,9.0,9.0,19.0,9.0,17.0,18.0,12.375,0.5860639744455013,16.0,14.0,19.0,17.0,18.0,16.0
SOPHIE,0.01984126984126984,22,0.75,0.75,27,0.21745531708463592,1.3333333333333333,1.3333333333333333,2,80,1375,178,6947,7.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,5.75,0.16021748611541392,6.0,7.0,7.0,5.0,6.0,6.0
HERR VON FANINAL,0.01984126984126984,22,0.75,0.75,27,0.21745531708463592,1.3333333333333333,1.3333333333333333,2,41,805,109,4385,7.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,6.125,0.10431537004953502,7.0,4.0,7.0,6.0,6.5,7.0
DIE DUENNA,0.0,11,0.6,0.6,11,0.09614666000598009,1.6666666666666667,1.6666666666666667,1,6,89,10,434,30.0,30.0,9.0,30.0,30.0,9.0,13.0,12.0,20.375,1.2972111225350218,31.0,33.0,30.0,13.0,21.5,25.0
DIE LAKAIEN,0.0,16,0.66,0.66,16,0.12332620451027342,1.5151515151515151,1.5151515151515151,1,1,4,1,23,9.0,9.0,9.0,9.0,19.0,9.0,26.0,33.0,15.375,1.1951118820906625,29.0,29.0,19.0,33.0,26.0,32.0
