name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DER FREMDE,0.07063492063492063,9,0.6363636363636364,0.6363636363636364,17,0.23153398695743121,1.5714285714285714,1.5714285714285714,9,108,1348,219,6927,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.625,0.17598574414666987,3.0,3.0,3.0,5.0,4.0,4.0
ZWEITE MASKE,0.0,4,0.5384615384615384,0.5384615384615384,4,0.02548894813955605,1.8571428571428572,1.8571428571428572,1,6,33,7,185,11.0,12.0,8.0,14.0,16.0,10.0,13.0,14.0,12.25,0.31868871959954903,15.0,8.0,15.0,14.0,14.5,15.0
DRITTE MASKE,0.0,4,0.5384615384615384,0.5384615384615384,4,0.025488948139556045,1.8571428571428572,1.8571428571428572,1,5,18,5,106,11.0,12.0,8.0,14.0,18.0,10.0,15.0,17.0,13.125,0.4352621336620037,17.0,12.0,17.0,17.0,17.0,19.0
HELENE,0.0,2,0.5121951219512195,0.5121951219512195,5,0.11074436416537368,1.9523809523809523,1.9523809523809523,4,53,525,90,2728,19.0,19.0,8.0,13.0,6.0,6.0,6.0,7.0,10.5,0.7165143802763885,13.0,19.0,19.0,6.0,12.5,13.0
FAUST,0.6928571428571431,20,0.9545454545454546,0.9545454545454546,47,0.5046884588573107,1.0476190476190477,1.0476190476190477,30,348,6674,995,34205,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
STIMME 5.7,0.0,4,0.5384615384615384,0.5384615384615384,4,0.02548894813955605,1.8571428571428572,1.8571428571428572,1,2,13,2,70,11.0,12.0,8.0,14.0,16.0,10.0,18.0,18.0,13.375,0.46740879553433434,18.0,13.0,15.0,18.0,16.5,18.0
WAGNER,0.03134920634920635,9,0.6363636363636364,0.6363636363636364,26,0.4404201798602227,1.5714285714285714,1.5714285714285714,12,84,1803,261,9575,2.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,0.1336306209562122,2.0,2.0,2.0,3.0,2.5,2.0
ZWEITER LEICHENTRÄGER,0.0,4,0.5384615384615384,0.5384615384615384,6,0.07201027742623138,1.8571428571428572,1.8571428571428572,2,4,29,5,156,11.0,12.0,8.0,12.0,8.0,9.0,16.0,16.0,11.5,0.4008918628686366,14.0,11.0,12.0,15.0,13.5,14.0
STUDENTENCHOR,0.0,7,0.6,0.6,7,0.0625861205734801,1.6666666666666667,1.6666666666666667,1,0,0,0,0,4.0,4.0,8.0,6.0,9.0,10.0,20.0,20.0,10.125,0.8085411797093048,10.0,21.0,4.0,20.0,12.0,11.0
CHORALARTIGER GESANG,0.0,1,0.5,0.5,1,0.022135222447899932,2.0,2.0,1,3,33,9,218,21.0,20.0,8.0,21.0,20.0,10.0,17.0,14.0,16.375,0.6441269700698989,21.0,17.0,20.0,15.0,17.5,21.0
