,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,6,25,16,15,17,22,20,2.089,0.4285,0.013068,3.9699999999999998,0.03215,2.1879999999999997,8.4745,171.41899999999998
9,6,6,3,5,7,8,5,5,13.1,0.4655,0.03955,22.0,0.203,7.0,23.65,509.29999999999995
8,4,6,2,4,4,3,3,3,4.300000000000001,0.6134999999999999,0.0659,34.0,0.07505,11.8,53.849999999999994,845.5
7,4,5,1,3,2,2,2,3,6.5,0.5395000000000001,0.14500000000000002,28.0,0.1605,4.6,144.45,1181.7
6,3,5,1,2,2,1,1,1,15.299999999999999,0.6505000000000001,0.198,10.0,0.2885,9.399999999999999,38.75,2526.5
5,2,3,1,1,2,1,0,1,8.7,0.5025,0.2505,16.0,0.4165,21.4,68.95,3198.9
4,2,2,0,1,1,1,0,0,10.9,0.7615000000000001,0.09204999999999999,46.0,0.3315,23.8,84.05,1517.9
3,2,0,0,1,0,0,0,0,21.9,0.5765,0.1185,58.0,0.1177,14.2,99.15,1854.1
2,0,0,0,0,0,0,0,0,17.5,0.6875,0.17149999999999999,40.0,0.2455,16.6,114.25,2190.3
1,0,0,0,0,0,0,0,0,19.700000000000003,0.7244999999999999,0.22399999999999998,52.0,0.374,19.0,129.35,2862.7
