,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,10,10,3,3,3,4,6,8.998999999999999,0.9999,-0.0001,16.6435,0.23199999999999998,2.1485,6.1185,204.91299999999998
9,0,0,0,3,3,3,2,1,8.992,0.9991,-0.0009,25.75,0.372,3.9499999999999997,25.049999999999997,363.1
8,0,0,0,2,2,2,1,1,8.994,0.9993,-0.0007,17.950000000000003,0.267,3.05,12.45,520.5
7,0,0,0,2,2,2,1,1,8.9955,0.9995,-0.0005,28.35,0.3895,4.85,18.75,1464.9
6,0,0,0,0,0,0,1,1,8.997,0.9997,-0.00030000000000000003,19.25,0.2495,2.45,43.95,1622.3
5,0,0,0,0,0,0,1,0,9.001000000000001,1.0001,0.0001,20.549999999999997,0.2845,2.75,62.85,677.9000000000001
4,0,0,0,0,0,0,0,0,9.003,1.0003,0.00030000000000000003,21.85,0.302,3.35,31.35,835.3
3,0,0,0,0,0,0,0,0,9.0045,1.0005,0.0005,23.15,0.3195,3.65,37.65,992.7
2,0,0,0,0,0,0,0,0,9.006,1.0007,0.0007,24.450000000000003,0.33699999999999997,4.25,50.25,1150.1
1,0,0,0,0,0,0,0,0,9.008,1.0009,0.0009,27.049999999999997,0.3545,4.550000000000001,56.55,1307.5
