name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
LYKON,0.0,9,0.68,0.68,9,0.0829092941112195,1.4705882352941175,1.4705882352941175,1,13,371,54,1960,10.0,10.0,10.0,13.0,14.0,13.0,12.0,8.0,11.25,0.25660906898571273,13.0,6.0,13.0,12.0,12.5,14.0
INGOMAR,0.029901960784313723,12,0.7727272727272727,0.7727272727272727,25,0.3784958259695681,1.2941176470588236,1.2941176470588236,4,238,6868,952,34645,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.875,0.22596519169363863,2.0,4.0,3.0,1.0,2.0,2.0
NOVIO,0.01764705882352941,11,0.7391304347826086,0.7391304347826086,21,0.3263972830034815,1.3529411764705883,1.3529411764705883,3,25,175,40,961,7.0,7.0,7.0,3.0,4.0,3.0,8.0,10.0,6.125,0.31649235490653754,8.0,8.0,8.0,6.0,7.0,8.0
EINIGE TECTOSAGEN,0.0,8,0.6538461538461539,0.6538461538461539,8,0.12976113657379562,1.5294117647058822,1.5294117647058822,1,2,5,2,28,15.0,15.0,10.0,18.0,13.0,13.0,18.0,18.0,15.0,0.36596252735569995,18.0,10.0,18.0,18.0,18.0,18.0
ACTÄA,0.03553921568627451,13,0.8095238095238095,0.8095238095238095,16,0.1945058206518732,1.2352941176470589,1.2352941176470589,2,48,1403,201,7165,2.0,2.0,2.0,7.0,10.0,7.0,4.0,4.0,4.75,0.37050882002225766,4.0,11.0,4.0,5.0,4.5,3.0
TRINOBANT,0.0,8,0.6538461538461539,0.6538461538461539,14,0.2265048639667621,1.5294117647058822,1.5294117647058822,2,19,118,28,560,15.0,15.0,10.0,9.0,7.0,7.0,10.0,14.0,10.875,0.4195953620538993,12.0,15.0,10.0,11.0,10.5,10.0
HEROLD,0.0,9,0.68,0.68,9,0.0829092941112195,1.4705882352941175,1.4705882352941175,1,4,18,5,101,10.0,10.0,10.0,13.0,14.0,13.0,16.0,17.0,12.875,0.3435470179923391,17.0,9.0,13.0,17.0,15.0,17.0
THEANO,0.0,9,0.68,0.68,9,0.0829092941112195,1.4705882352941175,1.4705882352941175,1,14,138,23,728,10.0,10.0,10.0,13.0,14.0,13.0,11.0,13.0,11.75,0.20863074009907004,15.0,3.0,13.0,14.0,13.5,15.0
SAMO,0.0,8,0.6538461538461539,0.6538461538461539,14,0.2265048639667621,1.5294117647058822,1.5294117647058822,2,10,44,10,221,15.0,15.0,10.0,9.0,7.0,7.0,14.0,16.0,11.625,0.472160214182795,14.0,17.0,10.0,14.0,12.0,13.0
ELPENOR,0.03553921568627451,13,0.8095238095238095,0.8095238095238095,20,0.2550428604851876,1.2352941176470589,1.2352941176470589,3,13,165,26,847,2.0,2.0,2.0,5.0,6.0,3.0,12.0,11.0,5.375,0.5085760056977016,6.0,18.0,2.0,10.0,6.0,6.0
AMBIVAR,0.0,8,0.6538461538461539,0.6538461538461539,14,0.2265048639667621,1.5294117647058822,1.5294117647058822,2,30,264,47,1338,15.0,15.0,10.0,9.0,7.0,7.0,6.0,9.0,9.75,0.4368617793830381,9.0,16.0,10.0,7.0,8.5,9.0
TIMARCH,0.03553921568627451,13,0.8095238095238095,0.8095238095238095,16,0.1945058206518732,1.2352941176470589,1.2352941176470589,2,23,755,109,4040,2.0,2.0,2.0,7.0,10.0,7.0,9.0,7.0,5.75,0.4105201404490232,7.0,14.0,4.0,8.0,6.0,6.0
PARTHENIA,0.2100490196078431,17,1.0,1.0,34,0.4315719996422209,1.0,1.0,5,222,6026,831,30438,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.25,0.057863756235784464,1.0,1.0,1.0,2.0,1.5,1.0
POLYDOR,0.0,9,0.68,0.68,9,0.0829092941112195,1.4705882352941175,1.4705882352941175,1,28,877,114,4441,10.0,10.0,10.0,13.0,14.0,13.0,7.0,5.0,10.25,0.3881618771300742,11.0,13.0,13.0,9.0,11.0,11.0
ADRAST,0.014705882352941175,11,0.7391304347826086,0.7391304347826086,13,0.15172057284564686,1.3529411764705883,1.3529411764705883,2,8,152,22,775,7.0,7.0,9.0,12.0,12.0,7.0,15.0,12.0,10.125,0.38053944323439437,10.0,12.0,9.0,13.0,11.0,11.0
MYRON,0.029901960784313723,12,0.7727272727272727,0.7727272727272727,19,0.29759713823135686,1.2941176470588236,1.2941176470588236,3,90,2016,298,10418,5.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,4.375,0.1484668673956776,3.0,2.0,6.0,3.0,4.5,3.0
ALASTOR,0.01764705882352941,11,0.7391304347826086,0.7391304347826086,21,0.32639728300348153,1.3529411764705883,1.3529411764705883,3,39,799,121,4228,7.0,7.0,7.0,3.0,3.0,3.0,5.0,6.0,5.125,0.23563648607851156,5.0,5.0,7.0,4.0,5.5,5.0
AMYNTAS,0.0,9,0.68,0.68,9,0.0829092941112195,1.4705882352941175,1.4705882352941175,1,4,47,7,228,10.0,10.0,10.0,13.0,14.0,13.0,16.0,15.0,12.625,0.2983399008322075,16.0,7.0,13.0,16.0,14.5,16.0
