,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,8,19,19,15,20,20,20,1.792,0.5025,0.0326205,2.98,0.027388000000000003,2.089,12.028500000000001,358.97400000000005
9,5,5,3,2,5,2,2,2,5.0,0.4575,0.09895000000000001,39.0,0.0818,10.9,85.05000000000001,1813.0
8,4,4,2,1,2,2,1,1,3.4000000000000004,0.4125,0.165,7.0,0.45899999999999996,21.9,60.75,1087.8000000000002
7,2,2,1,1,1,1,1,1,6.6,0.3675,0.626,19.0,0.29700000000000004,15.299999999999999,133.65,2538.2
6,2,2,0,1,1,0,1,1,8.2,0.5925,0.231,27.0,0.405,4.300000000000001,230.85,6889.4
5,1,1,0,1,1,0,0,0,11.399999999999999,0.3225,0.2965,31.0,0.513,6.5,36.45,3263.4
4,1,1,0,0,0,0,0,0,16.2,0.5475,0.362,11.0,0.136,8.7,109.35,3988.6
3,0,1,0,0,0,0,0,0,9.8,0.6375,0.42800000000000005,15.0,0.1895,13.1,157.95,4713.799999999999
2,0,1,0,0,0,0,0,0,13.0,0.7275,0.494,23.0,0.243,17.5,182.25,5439.0
1,0,0,0,0,0,0,0,0,14.600000000000001,0.6825,0.56,35.0,0.351,19.700000000000003,206.55,6164.200000000001
