,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,18,28,15,14,20,21,22,5.9,0.5525,0.026037,5.9205000000000005,0.0547,2.1879999999999997,10.603,306.346
9,9,4,1,6,6,4,4,6,3.287,0.4975,0.1315,11.850000000000001,0.10565,4.6,30.099999999999998,920.1999999999999
8,4,3,1,3,4,3,3,1,8.5,0.6074999999999999,0.4995,17.75,0.1565,7.0,49.5,1531.0
7,3,2,0,3,3,1,1,1,11.100000000000001,0.6625,0.0788,29.55,0.2575,9.399999999999999,68.9,5806.6
6,2,1,0,1,1,1,1,0,13.7,0.44199999999999995,0.184,23.65,0.35950000000000004,14.2,185.3,2141.8
5,1,1,0,1,1,1,0,0,18.9,0.718,0.2365,35.45,0.41000000000000003,23.8,88.3,2752.6
4,1,1,0,1,1,0,0,0,26.7,0.9390000000000001,0.2895,59.05,0.5115000000000001,11.8,107.7,3363.4
3,0,0,0,0,0,0,0,0,16.3,0.7735000000000001,0.34199999999999997,41.349999999999994,0.20700000000000002,16.6,127.10000000000001,3974.2000000000003
2,0,0,0,0,0,0,0,0,21.5,0.8285,0.39449999999999996,47.25,0.3085,19.0,146.5,4585.0
1,0,0,0,0,0,0,0,0,24.1,0.8835,0.44699999999999995,53.150000000000006,0.4605,21.4,165.89999999999998,5195.799999999999
