,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,5,9,5,6,5,8,8,10.0,0.743,0.009603,4.168,0.030305,2.1879999999999997,18.8005,423.39599999999996
9,3,3,3,4,4,4,4,5,1.594,0.584,0.0291,29.8,0.1855,9.399999999999999,48.849999999999994,1228.1999999999998
8,3,2,1,2,2,3,2,2,6.4,0.46399999999999997,0.0485,10.600000000000001,0.237,7.0,108.65,2029.0
7,2,2,1,2,2,2,1,1,4.0,0.544,0.0874,17.0,0.28900000000000003,4.6,78.75,2829.8
6,2,1,1,2,2,2,1,1,12.4,0.504,0.14550000000000002,61.8,0.496,23.8,168.45,7634.6
5,1,1,1,1,1,1,1,0,5.199999999999999,0.6234999999999999,0.16499999999999998,23.4,0.134,11.8,288.05,3630.6
4,1,1,1,1,0,0,0,0,7.6,0.663,0.1845,36.2,0.0822,14.2,138.55,4431.4
3,1,1,0,0,0,0,0,0,11.2,0.7825,0.06795000000000001,42.599999999999994,0.34099999999999997,16.6,198.35000000000002,5232.200000000001
2,0,1,0,0,0,0,0,0,2.8,0.8220000000000001,0.10655,49.0,0.39249999999999996,19.0,228.25,6033.0
1,0,0,0,0,0,0,0,0,8.8,0.7030000000000001,0.126,55.400000000000006,0.44399999999999995,21.4,258.15,6833.799999999999
