,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,10,4,5,6,9,10,4.6,0.4095,0.0157905,8.5,0.028314,1.99,10.1575,241.1455
9,3,4,4,3,5,4,1,2,3.8,0.47050000000000003,0.07965,2.485,0.08560000000000001,4.0,28.75,2547.95
8,3,4,1,3,2,2,1,1,7.0,0.5934999999999999,0.303,5.5,0.372,8.0,47.25,704.3499999999999
7,2,2,0,2,2,1,1,1,1.396,0.1019,0.0478,17.5,0.4295,10.0,102.75,3930.65
6,1,1,0,2,1,1,1,1,2.2,0.655,0.11130000000000001,23.5,0.5435,14.0,121.25,4391.55
5,1,0,0,1,0,1,1,0,6.199999999999999,0.1635,0.14300000000000002,29.5,0.143,20.0,139.75,1165.25
4,1,0,0,0,0,0,1,0,8.6,0.225,0.175,11.5,0.2005,6.0,176.75,1626.15
3,0,0,0,0,0,0,0,0,3.0,0.2865,0.20700000000000002,14.5,0.2575,12.0,65.75,2087.05
2,0,0,0,0,0,0,0,0,5.4,0.348,0.239,20.5,0.3145,16.0,84.25,3008.8500000000004
1,0,0,0,0,0,0,0,0,7.8,0.532,0.271,26.5,0.48650000000000004,18.0,158.25,3469.75
