,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,8,26,15,9,23,31,33,11.435500000000001,0.5854999999999999,0.0034155,12.475,0.10930000000000001,1.1485,8.415,336.0555
9,8,8,5,8,8,10,4,5,20.15,0.659,0.01725,17.5,0.057749999999999996,2.05,25.5,1018.3499999999999
8,7,7,3,6,7,7,3,2,14.350000000000001,0.6225,0.01035,32.5,0.0837,2.95,59.5,1697.25
7,4,4,3,4,6,3,2,1,23.05,0.6955,0.024149999999999998,27.5,0.187,3.85,110.5,2376.15
6,4,4,2,4,3,0,1,1,25.95,0.732,0.03795,42.5,0.16099999999999998,1.4500000000000002,42.5,3733.95
5,4,4,2,3,3,0,1,1,31.75,0.8055,0.06555,57.5,0.2645,1.75,93.5,6449.55
4,3,3,1,2,2,0,1,0,28.85,0.7685,0.03105,37.5,0.135,2.35,161.5,3055.05
3,3,2,1,1,2,0,0,0,37.55,0.842,0.04485,47.5,0.21300000000000002,2.65,76.5,4412.85
2,2,2,0,0,2,0,0,0,34.650000000000006,0.915,0.051750000000000004,22.5,0.239,3.25,127.5,5091.75
1,0,1,0,0,1,0,0,0,17.25,0.8785000000000001,0.05865,52.5,0.29000000000000004,3.55,144.5,5770.65
