,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,5,1,2,1,1,2,3.9996,0.9999,-0.0001,11.6435,0.5465,7.396,60.97,5329.45
9,0,0,0,1,1,1,1,1,3.9964,0.9991,-0.0009,12.95,0.3075,9.0,73.0,1951.6745
8,0,0,0,1,1,1,1,1,3.9972,0.9993,-0.0007,15.55,0.361,12.2,79.0,2703.75
7,0,0,0,1,1,1,1,1,3.998,0.9995,-0.0005,22.049999999999997,0.4405,13.8,85.0,3453.95
6,0,0,0,1,0,1,1,0,3.9988,0.9997,-0.00030000000000000003,23.35,0.3345,14.6,115.0,2328.6499999999996
5,0,0,0,0,0,0,0,0,4.0004,1.0001,0.0001,14.25,0.3875,8.2,67.0,3078.8500000000004
4,0,0,0,0,0,0,0,0,4.0012,1.0003,0.00030000000000000003,16.85,0.41400000000000003,9.8,91.0,3829.05
3,0,0,0,0,0,0,0,0,4.002,1.0005,0.0005,18.15,0.46699999999999997,10.6,97.0,4204.15
2,0,0,0,0,0,0,0,0,4.0028,1.0007,0.0007,19.450000000000003,0.4935,11.4,103.0,4579.25
1,0,0,0,0,0,0,0,0,4.0036,1.0009,0.0009,20.75,0.52,13.0,109.0,4954.35
