,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,4,3,4,4,4,5,8.8,0.9844999999999999,0.00213345,7.550000000000001,0.14850000000000002,1.198,7.1875,203.762
9,3,3,4,2,2,4,1,2,6.8,0.8305,0.04095,19.450000000000003,0.387,4.0,19.75,1021.0
8,1,1,1,1,2,1,1,2,5.198,0.7075,0.00646,5.8415,0.42100000000000004,2.0,44.75,2651.3999999999996
7,1,1,1,1,1,1,1,1,6.0,0.7384999999999999,0.015050000000000001,10.95,0.251,4.8,57.25,3874.2
6,1,1,0,1,1,0,1,0,8.0,0.8925000000000001,0.010755,14.35,0.4555,1.6,82.25,613.4000000000001
5,0,0,0,1,0,0,1,0,5.6,0.7695000000000001,0.01935,17.75,0.183,2.4000000000000004,94.75,1428.6
4,0,0,0,1,0,0,1,0,6.4,0.8,0.023649999999999997,21.15,0.21700000000000003,2.8,119.75,1836.2
3,0,0,0,0,0,0,0,0,7.2,0.8614999999999999,0.02795,9.25,0.28500000000000003,3.2,32.25,2243.8
2,0,0,0,0,0,0,0,0,7.6,0.923,0.03225,12.65,0.319,3.5999999999999996,69.75,3059.0
1,0,0,0,0,0,0,0,0,8.399999999999999,0.9535,0.0366,16.049999999999997,0.353,4.4,107.25,3466.6000000000004
