name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
MANDANDANE,0.3267676767676767,10,0.8571428571428571,0.8571428571428571,11,0.25706296309699755,1.1666666666666667,1.1666666666666667,3,11,1192,230,6731,1.0,1.0,1.0,5.0,7.0,1.0,9.0,5.0,3.75,0.3994974521642338,4.0,13.0,3.0,5.0,4.0,4.0
SORA,0.08686868686868686,9,0.8,0.8,15,0.40614689696467227,1.25,1.25,3,103,1225,81,6446,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.875,0.1407489533074504,1.0,2.0,1.0,2.0,1.5,1.0
FERIA,0.023737373737373734,8,0.75,0.75,13,0.3717249926170806,1.3333333333333333,1.3333333333333333,3,33,472,33,2665,4.0,4.0,5.0,4.0,4.0,1.0,7.0,7.0,4.5,0.24090602791485788,6.0,9.0,5.0,5.0,5.0,6.0
DIE PARZEN,0.0,2,0.5,0.5,2,0.02389851526483182,2.0,2.0,1,5,60,15,323,12.0,12.0,7.0,12.0,12.0,10.0,10.0,11.0,10.75,0.21906864547116603,13.0,7.0,12.0,11.0,11.5,12.0
BEDIENTE,0.0,4,0.5454545454545454,0.5454545454545454,4,0.09336414398674418,1.8333333333333335,1.8333333333333335,1,0,0,0,0,9.0,10.0,7.0,10.0,10.0,10.0,13.0,13.0,10.25,0.24775780224127872,11.0,10.0,10.0,13.0,11.5,12.0
PRINZ,0.0,4,0.6,0.6,5,0.11935122299744524,1.6666666666666667,1.6666666666666667,2,41,1404,74,7903,9.0,9.0,7.0,9.0,9.0,7.0,5.0,3.0,7.25,0.2814979066149008,9.0,11.0,9.0,5.0,7.0,7.0
MERKULO,0.08838383838383838,8,0.75,0.75,9,0.191973238580477,1.3333333333333333,1.3333333333333333,3,60,2171,44,12702,4.0,4.0,2.0,8.0,8.0,1.0,4.0,2.0,4.125,0.3302968091623913,5.0,12.0,6.0,3.0,4.5,5.0
PROSERPINA,0.0,2,0.5,0.5,2,0.02389851526483182,2.0,2.0,1,4,207,40,1063,12.0,12.0,7.0,12.0,12.0,10.0,11.0,9.0,10.625,0.2308514906044267,12.0,8.0,12.0,10.0,11.0,10.0
MANA,0.08686868686868686,9,0.8,0.8,15,0.4061468969646722,1.25,1.25,3,74,866,61,4755,2.0,2.0,3.0,1.0,2.0,1.0,3.0,6.0,2.5,0.2004459314343183,2.0,4.0,2.0,4.0,3.0,3.0
BEDIENTER,0.0,4,0.5454545454545454,0.5454545454545454,4,0.09336414398674418,1.8333333333333335,1.8333333333333335,1,2,16,2,84,9.0,10.0,7.0,10.0,10.0,10.0,12.0,12.0,10.0,0.2004459314343183,10.0,4.0,10.0,12.0,11.0,10.0
LATO,0.0,6,0.6666666666666666,0.6666666666666666,11,0.34909372196709304,1.5,1.5,2,40,260,40,1315,7.0,7.0,7.0,5.0,5.0,7.0,6.0,8.0,6.5,0.1336306209562122,7.0,1.0,7.0,8.0,7.5,8.0
MELA,0.0,6,0.6666666666666666,0.6666666666666666,11,0.34909372196709304,1.5,1.5,2,25,172,25,947,7.0,7.0,7.0,5.0,5.0,7.0,8.0,10.0,7.0,0.2004459314343183,8.0,4.0,7.0,9.0,8.0,9.0
ANDRASON,0.023737373737373734,8,0.75,0.75,14,0.3904116571201972,1.3333333333333333,1.3333333333333333,3,89,2870,56,16058,4.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,2.875,0.18221724671391565,3.0,3.0,4.0,1.0,2.5,2.0
