,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,9,3,4,6,4,6,4.0,0.732,0.0161865,10.45,0.387,2.9,5.0985000000000005,142.065
9,3,2,3,3,2,4,3,3,8.0,0.518,0.0817,14.35,0.042800000000000005,1.099,36.05,1291.5
8,2,2,1,2,2,3,1,1,2.396,0.5535,0.3105,2.6435,0.08105000000000001,1.9,15.450000000000001,430.5
7,2,2,0,2,2,0,1,1,5.6,0.661,0.049049999999999996,3.9499999999999997,0.349,1.2999999999999998,25.75,1004.5
6,2,2,0,1,1,0,1,1,8.8,0.8035,0.1145,5.25,0.11950000000000001,1.5,56.65,2152.5
5,1,1,0,1,1,0,1,1,9.6,0.589,0.14700000000000002,9.15,0.196,1.7000000000000002,77.25,2726.5
4,0,1,0,1,1,0,1,0,3.2,0.839,0.1795,13.05,0.272,2.1,87.55000000000001,717.5
3,0,0,0,0,0,0,1,0,4.800000000000001,0.625,0.21250000000000002,6.550000000000001,0.158,2.3,97.85,1578.5
2,0,0,0,0,0,0,0,0,6.4,0.6965,0.245,7.85,0.23399999999999999,2.5,46.35,1865.5
1,0,0,0,0,0,0,0,0,7.199999999999999,0.768,0.27749999999999997,11.75,0.3105,2.7,66.94999999999999,2439.5
