,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,6,14,6,8,12,16,19,9.3,0.584,0.006831,11.100000000000001,0.03775,2.1385,8.1775,159.1925
9,5,5,5,5,5,4,4,5,16.5,0.728,0.0207,5.673,0.07525,4.449999999999999,22.75,472.25
8,4,4,4,5,4,4,3,1,3.891,0.512,0.062,21.9,0.11245,9.05,37.25,783.75
7,4,4,3,4,3,3,2,1,11.1,0.62,0.04820000000000001,32.7,0.3735,22.85,138.75,1718.25
6,4,4,1,2,2,2,1,1,14.7,0.692,0.03445,27.3,0.1875,13.65,51.75,2652.75
5,2,2,1,2,2,1,1,1,5.699999999999999,0.47550000000000003,0.131,48.900000000000006,0.22449999999999998,6.75,66.25,2964.25
4,2,1,0,1,2,1,1,0,7.5,0.548,0.0758,16.5,0.2615,11.35,95.25,1095.25
3,1,1,0,1,2,1,0,0,12.9,0.656,0.0896,38.099999999999994,0.29900000000000004,15.950000000000001,80.75,1406.75
2,1,1,0,1,0,0,0,0,20.1,0.8,0.10325000000000001,43.5,0.15000000000000002,18.25,109.75,2029.75
1,0,0,0,1,0,0,0,0,18.299999999999997,0.764,0.11699999999999999,54.3,0.3365,20.549999999999997,124.25,2341.25
