name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DIE FRAU,0.0,3,0.41333333333333333,0.41333333333333333,4,0.02096256574205349,2.4193548387096775,2.4193548387096775,2,15,231,40,1190,25.0,29.0,18.0,27.0,28.0,17.0,16.0,18.0,22.25,0.6870940359846782,26.0,25.0,28.0,17.0,22.5,23.0
BOLANA,0.06593120141507239,9,0.5740740740740741,0.5740740740740741,14,0.17148006210664762,1.7419354838709677,1.7419354838709677,6,35,593,88,3014,8.0,8.0,3.0,10.0,9.0,4.0,9.0,11.0,7.75,0.35197148829333974,7.0,10.0,8.0,9.0,8.5,9.0
ZENOBIA,0.0,1,0.47692307692307695,0.47692307692307695,1,0.020290973422580124,2.096774193548387,2.096774193548387,1,8,432,59,2197,30.0,28.0,18.0,30.0,30.0,24.0,21.0,17.0,24.75,0.6903350635742038,30.0,26.0,30.0,21.0,25.5,27.0
MÄONIOS,0.0,3,0.49206349206349204,0.49206349206349204,5,0.02729652735565751,2.032258064516129,2.032258064516129,2,26,481,78,2445,25.0,25.0,18.0,24.0,26.0,17.0,13.0,15.0,20.375,0.6475830752001741,21.0,24.0,26.0,14.0,20.0,17.0
SEPTIMIUS,0.010766652702136573,11,0.6078431372549019,0.6078431372549019,21,0.2467794824850013,1.6451612903225807,1.6451612903225807,4,26,544,80,2780,7.0,6.0,9.0,5.0,5.0,9.0,13.0,12.0,8.25,0.38236809116721177,8.0,12.0,6.0,12.0,9.0,10.0
LONGINUS,0.04689568496020109,14,0.6458333333333334,0.6458333333333334,41,0.4374294423301694,1.5483870967741935,1.5483870967741935,16,101,1595,196,8272,5.0,5.0,8.0,2.0,2.0,2.0,2.0,3.0,3.625,0.2749797070434731,3.0,4.0,4.0,2.0,3.0,3.0
HERENNIANOS,0.0008602150537634409,7,0.5254237288135594,0.5254237288135594,11,0.07624906426273986,1.9032258064516128,1.9032258064516128,3,28,1047,157,5575,10.0,16.0,15.0,11.0,16.0,12.0,12.0,6.0,12.25,0.4265203897320067,12.0,14.0,13.0,11.0,12.0,11.0
JAMLICHUS,0.0,3,0.49206349206349204,0.49206349206349204,5,0.07906315841352034,2.032258064516129,2.032258064516129,3,10,187,29,969,25.0,25.0,18.0,24.0,14.0,12.0,19.0,19.0,19.5,0.6160067253807264,19.0,23.0,24.0,16.0,20.0,17.0
SATURNINUS,0.0,7,0.5344827586206896,0.5344827586206896,7,0.07998571884222982,1.870967741935484,1.870967741935484,1,7,528,73,2876,10.0,12.0,18.0,18.0,13.0,24.0,25.0,13.0,16.625,0.7005657790060015,16.0,28.0,15.0,21.0,18.0,16.0
STIMME,0.0014336917562724014,5,0.5081967213114754,0.5081967213114754,8,0.07847034954474555,1.967741935483871,1.967741935483871,3,4,36,8,212,22.0,23.0,14.0,17.0,15.0,12.0,27.0,28.0,19.75,0.7610788864687887,20.0,30.0,20.0,26.0,23.0,24.0
ZOE,0.053962202671880094,12,0.5961538461538461,0.5961538461538461,18,0.17292405762846225,1.6774193548387097,1.6774193548387097,4,39,1003,146,5212,6.0,7.0,7.0,8.0,8.0,9.0,7.0,7.0,7.375,0.11451567266411304,6.0,2.0,7.0,8.0,7.5,6.0
PAUSANIAS,0.10474747474747477,15,0.6595744680851063,0.6595744680851063,30,0.33165382478023897,1.5161290322580647,1.5161290322580647,10,70,1282,211,6636,4.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.375,0.11451567266411304,2.0,2.0,2.0,3.0,2.5,2.0
ZABBÄOS,0.0064516129032258064,6,0.5166666666666667,0.5166666666666667,10,0.0640216685032998,1.9354838709677418,1.9354838709677418,4,30,860,127,4362,16.0,19.0,12.0,13.0,19.0,9.0,11.0,9.0,13.5,0.5088502445991074,15.0,16.0,17.0,10.0,13.5,14.0
SELEUKOS,0.0,3,0.49206349206349204,0.49206349206349204,5,0.02729652735565751,2.032258064516129,2.032258064516129,2,11,143,20,774,25.0,25.0,18.0,24.0,26.0,17.0,17.0,20.0,21.5,0.4864228025670084,25.0,15.0,26.0,18.0,22.0,22.0
SKLAVE,0.0,1,0.36046511627906974,0.36046511627906974,1,0.005134150391304596,2.774193548387097,2.774193548387097,1,2,14,3,75,30.0,32.0,18.0,30.0,32.0,24.0,30.0,30.0,28.25,0.604115350858474,32.0,22.0,32.0,30.0,31.0,32.0
TIMOLAOS,0.008745519713261648,9,0.5636363636363636,0.5636363636363636,19,0.2199240472665027,1.774193548387097,1.774193548387097,6,48,1815,47,10102,8.0,9.0,10.0,6.0,6.0,4.0,5.0,2.0,6.25,0.3324019726604694,5.0,8.0,9.0,3.0,6.0,5.0
DER BLINDE,0.0,3,0.41333333333333333,0.41333333333333333,4,0.02096256574205349,2.4193548387096775,2.4193548387096775,2,8,47,10,222,25.0,29.0,18.0,27.0,28.0,17.0,21.0,25.0,23.75,0.5698919070440338,28.0,20.0,28.0,23.0,25.5,27.0
AGRIPPA,0.0,4,0.5,0.5,7,0.06288696254436815,2.0,2.0,2,8,129,22,677,23.0,24.0,18.0,18.0,20.0,17.0,21.0,22.0,20.375,0.3199993024545969,21.0,6.0,23.0,20.0,21.5,20.0
DER GREIS,0.0016129032258064516,7,0.543859649122807,0.543859649122807,10,0.11934359279202883,1.8387096774193548,1.8387096774193548,2,19,448,86,2388,10.0,11.0,13.0,13.0,12.0,17.0,15.0,16.0,13.375,0.30573024407614163,14.0,5.0,12.0,15.0,13.5,14.0
SKLAVIN,0.0,1,0.36904761904761907,0.36904761904761907,1,0.006577601663382483,2.7096774193548385,2.7096774193548385,1,4,38,7,199,30.0,31.0,18.0,30.0,31.0,24.0,27.0,27.0,27.25,0.5580178568571337,31.0,19.0,31.0,28.0,29.5,31.0
APELLES,0.47366987850858816,27,0.8857142857142857,0.8857142857142857,68,0.5290046003896416,1.1290322580645162,1.1290322580645162,22,262,8671,1230,45079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
STIMMEN,0.0,4,0.5166666666666667,0.5166666666666667,4,0.04422314064667404,1.9354838709677418,1.9354838709677418,1,2,10,2,60,23.0,19.0,18.0,27.0,23.0,24.0,30.0,31.0,24.375,0.5898603799689744,29.0,21.0,25.0,31.0,28.0,30.0
AURELIUS,0.056931527254107904,16,0.6739130434782609,0.6739130434782609,31,0.31576053314864944,1.4838709677419355,1.4838709677419355,6,36,769,92,4208,2.0,2.0,6.0,3.0,4.0,4.0,8.0,10.0,4.875,0.3625153937618177,4.0,11.0,3.0,7.0,5.0,4.0
ERSTER BÜRGER,0.0,6,0.5344827586206896,0.5344827586206896,6,0.06039897303239588,1.870967741935484,1.870967741935484,1,11,71,14,394,16.0,12.0,18.0,20.0,21.0,24.0,17.0,24.0,19.0,0.5132181379714255,18.0,18.0,18.0,24.0,21.0,19.0
ZWEITER BÜRGER,0.0,6,0.5344827586206896,0.5344827586206896,6,0.06039897303239588,1.870967741935484,1.870967741935484,1,5,33,8,189,16.0,12.0,18.0,20.0,21.0,24.0,26.0,29.0,20.75,0.6903350635742038,24.0,26.0,18.0,29.0,23.5,26.0
JARCHAI,0.0,6,0.5166666666666667,0.5166666666666667,6,0.036693503623600014,1.9354838709677418,1.9354838709677418,1,8,140,25,726,16.0,19.0,18.0,20.0,24.0,24.0,21.0,21.0,20.375,0.34678047296318665,21.0,9.0,21.0,25.0,23.0,24.0
PHÖBE,0.06518177163338454,7,0.5535714285714286,0.5535714285714286,10,0.13385018982019584,1.8064516129032258,1.8064516129032258,5,41,1311,184,6495,10.0,10.0,4.0,13.0,11.0,8.0,6.0,4.0,8.25,0.4159219535304327,8.0,13.0,10.0,6.0,8.0,7.0
TRYPHENA,0.0008602150537634409,7,0.5254237288135594,0.5254237288135594,10,0.0735326976824771,1.9032258064516128,1.9032258064516128,2,3,105,15,552,10.0,16.0,15.0,13.0,18.0,17.0,29.0,23.0,17.625,0.7438362795093324,17.0,29.0,16.0,27.0,21.5,20.0
EIN BÜRGER,0.0,6,0.5166666666666667,0.5166666666666667,6,0.036693503623600014,1.9354838709677418,1.9354838709677418,1,1,3,1,23,16.0,19.0,18.0,20.0,24.0,24.0,32.0,32.0,23.125,0.7660121105905758,27.0,31.0,21.0,32.0,26.5,29.0
VOLK,0.062953032630452,16,0.6595744680851063,0.6595744680851063,19,0.16489549215293614,1.5161290322580647,1.5161290322580647,3,9,45,12,241,2.0,3.0,5.0,6.0,10.0,12.0,20.0,26.0,10.5,1.0690449676496976,11.0,32.0,5.0,19.0,12.0,11.0
NYMPHAS,0.008028673835125448,6,0.5344827586206896,0.5344827586206896,15,0.1802686449496193,1.870967741935484,1.870967741935484,6,63,900,124,4760,16.0,12.0,11.0,9.0,7.0,4.0,4.0,8.0,8.875,0.5107657941058421,10.0,17.0,11.0,5.0,8.0,7.0
PERSIDA,0.0008602150537634409,7,0.5254237288135594,0.5254237288135594,11,0.07624906426273986,1.9032258064516128,1.9032258064516128,3,33,526,87,2625,10.0,16.0,15.0,11.0,16.0,12.0,10.0,14.0,13.0,0.32043497223082784,13.0,7.0,13.0,13.0,13.0,13.0
