,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,6,12,6,6,11,10,12,11.15,0.7184999999999999,0.0053955,10.0,0.14900000000000002,1.1485,7.7715,130.23450000000003
9,3,3,2,3,3,3,2,1,15.05,0.588,0.03815,5.188000000000001,0.1155,2.95,23.549999999999997,394.65000000000003
8,2,3,2,2,2,2,2,1,4.6434999999999995,0.8915,0.1036,7.6000000000000005,0.0822,2.05,54.95,657.75
7,2,2,1,2,2,2,1,1,7.25,0.6315,0.02725,24.4,0.34850000000000003,3.85,39.25,920.85
6,2,2,1,2,2,0,1,1,16.35,0.9784999999999999,0.07085,26.8,0.3815,1.4500000000000002,102.05000000000001,1447.05
5,1,1,0,1,1,0,1,1,5.949999999999999,0.675,0.01635,12.399999999999999,0.21550000000000002,1.75,117.75,1710.15
4,1,1,0,1,1,0,1,1,8.55,0.8485,0.049049999999999996,17.2,0.28200000000000003,2.35,149.15,2499.45
3,1,0,0,1,1,0,0,0,13.75,0.7615000000000001,0.05995,22.0,0.3155,2.65,70.65,1183.95
2,0,0,0,0,0,0,0,0,9.85,0.8049999999999999,0.08180000000000001,14.8,0.1825,3.25,86.35,1973.25
1,0,0,0,0,0,0,0,0,12.45,0.935,0.09275,19.6,0.2485,3.55,133.45,2236.3500000000004
