,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,7,7,9,5,5,7,6,6,8.0,0.8445,0.0082665,7.25,0.198,1.6435,4.5145,161.5585
9,2,2,2,2,2,1,2,2,2.396,0.5775,0.1585,3.0395,0.1008,4.25,68.45,481.45000000000005
8,2,2,0,1,2,1,1,1,9.6,0.978,0.025,11.45,0.537,6.85,11.649999999999999,799.75
7,0,0,0,1,1,1,1,1,3.2,0.622,0.041650000000000006,13.55,0.29500000000000004,9.45,18.75,1436.35
6,0,0,0,1,1,1,1,1,4.0,0.6665,0.05835,19.85,0.392,13.35,25.85,3027.85
5,0,0,0,1,0,0,0,0,4.800000000000001,0.711,0.075,21.95,0.1495,2.95,32.95,1118.05
4,0,0,0,0,0,0,0,0,5.6,0.7555000000000001,0.09165000000000001,5.15,0.2465,5.550000000000001,40.05,1754.65
3,0,0,0,0,0,0,0,0,6.4,0.8,0.10850000000000001,9.350000000000001,0.3435,8.15,47.150000000000006,2072.95
2,0,0,0,0,0,0,0,0,7.199999999999999,0.889,0.125,15.649999999999999,0.44,10.75,54.25,2391.25
1,0,0,0,0,0,0,0,0,8.8,0.9335,0.14150000000000001,17.75,0.48850000000000005,12.05,61.35,2709.55
