,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,7,3,3,3,3,2,5.297,0.6645000000000001,0.006534,7.7325,0.06785,2.891,12.207,217.5235
9,3,3,2,2,3,3,3,2,5.9,0.7,0.059500000000000004,25.25,0.112,13.7,179.7,1070.25
8,2,2,2,1,3,1,2,2,7.7,0.7705,0.1255,11.25,0.33199999999999996,6.5,68.1,1495.5500000000002
7,1,1,1,1,2,1,1,2,8.899999999999999,0.8414999999999999,0.0331,14.75,0.46399999999999997,8.3,49.5,1920.85
6,1,1,0,1,1,1,1,2,10.100000000000001,0.9115,0.01985,18.25,0.42000000000000004,10.1,86.7,4047.35
5,1,1,0,1,0,1,1,1,10.7,0.9824999999999999,0.0463,21.75,0.156,11.9,105.3,2771.45
4,0,0,0,1,0,1,1,1,6.5,0.7355,0.07275000000000001,28.75,0.2,17.299999999999997,161.10000000000002,3196.75
3,0,0,0,1,0,1,0,0,7.1,0.806,0.086,35.75,0.244,19.1,30.900000000000002,644.95
2,0,0,0,1,0,0,0,0,8.3,0.8765000000000001,0.0993,39.25,0.28800000000000003,4.699999999999999,123.89999999999999,2346.15
1,0,0,0,0,0,0,0,0,9.5,0.9470000000000001,0.11249999999999999,32.25,0.376,15.5,142.5,3622.05
