,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,7,14,8,5,10,6,5,4.594,0.5615,0.00186615,7.1499999999999995,0.0189595,1.099,4.2175,1168.0500000000002
9,5,5,3,5,5,9,6,4,9.4,0.219,0.0358,9.25,0.172,1.9,10.75,68.96350000000001
8,3,4,2,3,4,3,3,3,14.2,0.5045,0.00942,17.65,0.134,2.9,23.75,206.95000000000002
7,3,3,2,3,3,0,2,2,15.4,0.6765,0.017,23.95,0.249,1.2999999999999998,43.25,481.55
6,2,3,1,2,3,0,2,2,7.0,0.7335,0.0245,15.55,0.3635,1.5,49.75,893.45
5,2,0,0,1,2,0,1,2,8.2,0.27649999999999997,0.005655,5.0395,0.28700000000000003,1.7000000000000002,36.75,1030.75
4,2,0,0,0,0,0,1,1,10.6,0.3335,0.0132,11.350000000000001,0.0574,2.1,56.25,344.25
3,0,0,0,0,0,0,1,1,5.800000000000001,0.39049999999999996,0.020749999999999998,13.45,0.09575,2.3,62.75,618.85
2,0,0,0,0,0,0,0,1,11.8,0.4475,0.0283,19.75,0.21050000000000002,2.5,17.25,756.15
1,0,0,0,0,0,0,0,1,13.0,0.619,0.03205,21.85,0.32499999999999996,2.7,30.25,1305.35
