name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.006349206349206349,9,0.9090909090909091,0.9090909090909091,11,0.06673377620034557,1.1,1.1,2,4,89,14,412,6.0,6.0,7.0,10.0,10.0,10.0,10.0,9.0,8.5,0.23145502494313785,9.0,10.0,7.0,10.0,8.5,9.0
GRAF,0.02264550264550265,10,1.0,1.0,56,0.37575469764315417,1.0,1.0,15,179,1997,285,10542,1.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,3.0,0.24090602791485788,5.0,11.0,5.0,4.0,4.5,5.0
BRENNER,0.006349206349206349,9,0.9090909090909091,0.9090909090909091,45,0.2972896446885984,1.1,1.1,14,81,1162,79,6358,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.375,0.06469364618834571,6.0,2.0,6.0,7.0,6.5,6.0
GEORG,0.02264550264550265,10,1.0,1.0,68,0.43025872547335775,1.0,1.0,20,169,2314,305,12425,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.875,0.10431537004953502,2.0,3.0,2.0,2.0,2.0,2.0
MARIE,0.02264550264550265,10,1.0,1.0,58,0.39187021146312295,1.0,1.0,17,163,2371,385,12041,1.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,2.5,0.1767766952966369,3.0,7.0,4.0,3.0,3.5,3.0
GESELLEN,0.0,6,0.7142857142857143,0.7142857142857143,14,0.10253032365328718,1.4,1.4,4,15,177,43,1020,11.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,8.875,0.1695253352325672,10.0,6.0,10.0,8.0,9.0,10.0
STADINGER,0.02264550264550265,10,1.0,1.0,73,0.44898953486846477,1.0,1.0,22,298,5286,668,27956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
IRMENTRAUT,0.02264550264550265,10,1.0,1.0,60,0.3991664978517851,1.0,1.0,17,125,1768,198,9201,1.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,2.75,0.20863074009907004,4.0,9.0,3.0,5.0,4.0,4.0
ADELHOF,0.0,8,0.8333333333333334,0.8333333333333334,31,0.21199654711273697,1.2,1.2,10,115,1420,177,7349,8.0,8.0,9.0,7.0,7.0,7.0,6.0,6.0,7.25,0.12938729237669142,7.0,4.0,7.0,6.0,6.5,6.0
EIN GESELLE,0.007407407407407408,8,0.8333333333333334,0.8333333333333334,14,0.09227097669673785,1.2,1.2,4,5,40,7,243,8.0,8.0,6.0,8.0,9.0,8.0,9.0,10.0,8.25,0.1456205931276794,8.0,5.0,7.0,9.0,8.0,8.0
EINIGE MÄNNER,0.0,8,0.8333333333333334,0.8333333333333334,8,0.04893477465524924,1.2,1.2,1,0,0,0,0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,0.1767766952966369,11.0,7.0,10.0,11.0,10.5,11.0
