name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ANTILOCHUS,0.0,8,0.47706422018348627,0.47706422018348627,13,0.009933283904095154,2.0961538461538463,2.0961538461538463,3,22,279,49,1611,39.0,45.0,29.0,29.0,44.0,21.0,12.0,15.0,29.25,1.5878303930656,29.0,46.0,39.0,13.0,26.0,24.0
DIE FÜNFTE AMAZONE,0.0075591867360828135,25,0.6582278481012658,0.6582278481012658,79,0.22980136900876796,1.5192307692307694,1.5192307692307694,6,2,6,2,28,12.0,12.0,18.0,8.0,7.0,12.0,34.0,39.0,17.75,1.5129648046137756,14.0,45.0,12.0,28.0,20.0,18.0
MEHRERE FRAUEN,0.0,11,0.5148514851485149,0.5148514851485149,11,0.03264206216648483,1.9423076923076923,1.9423076923076923,1,1,41,6,224,33.0,33.0,29.0,34.0,29.0,30.0,38.0,28.0,31.75,0.42125450400305176,35.0,10.0,32.0,37.0,34.5,37.0
DIE MÄDCHEN,0.004841701800361427,13,0.5652173913043478,0.5652173913043478,16,0.029115064807374205,1.7692307692307694,1.7692307692307694,2,3,14,3,61,27.0,23.0,24.0,26.0,32.0,24.0,27.0,36.0,27.375,0.5587673774862462,27.0,16.0,26.0,29.0,27.5,26.0
EIN DRITTES MÄDCHEN,0.0,9,0.5416666666666666,0.5416666666666666,9,0.017777031553166487,1.8461538461538463,1.8461538461538463,1,4,108,15,576,36.0,30.0,29.0,37.0,37.0,30.0,25.0,22.0,30.75,0.6999681115185585,30.0,25.0,36.0,27.0,31.5,29.0
EIN MYRMIDONIER,0.0,7,0.4406779661016949,0.4406779661016949,7,0.0020242210833717627,2.269230769230769,2.269230769230769,1,20,420,65,2301,42.0,50.0,29.0,42.0,50.0,30.0,14.0,11.0,33.5,1.8945410299821206,38.0,51.0,48.0,16.0,32.0,31.0
AUTOMEDON,0.0,8,0.47706422018348627,0.47706422018348627,8,0.005661899351000663,2.0961538461538463,2.0961538461538463,1,2,8,2,40,39.0,45.0,29.0,40.0,48.0,30.0,34.0,38.0,37.875,0.8383591009483091,48.0,27.0,42.0,42.0,42.0,48.0
EINE ANDERE FÜRSTIN,0.0,13,0.5252525252525253,0.5252525252525253,13,0.04165449141405241,1.9038461538461537,1.9038461538461537,1,1,5,1,27,27.0,32.0,29.0,29.0,25.0,30.0,38.0,41.0,31.375,0.6844494007177281,32.0,23.0,30.0,45.0,37.5,41.0
DIE ZWEITE AMAZONE,0.05954488741714034,37,0.7761194029850746,0.7761194029850746,128,0.3319830561374645,1.2884615384615383,1.2884615384615383,12,38,261,48,1407,2.0,2.0,5.0,1.0,1.0,1.0,8.0,17.0,4.625,0.6973723001381686,3.0,24.0,2.0,9.0,5.5,5.0
DER ZWEITE GRIECHE,0.0075238051708639946,13,0.5,0.5,15,0.007589440584327342,2.0,2.0,2,3,14,3,80,27.0,41.0,22.0,27.0,47.0,24.0,27.0,36.0,31.375,1.1159107027126192,32.0,37.0,35.0,29.0,32.0,31.0
