,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,8,16,8,7,11,9,11,9.25,0.6855,0.0284625,7.75,0.219,1.8415000000000001,6.445,249.73
9,5,5,1,5,4,3,4,3,4.75,0.589,0.5465,5.050000000000001,0.0691,3.5500000000000003,17.5,706.0
8,2,2,0,1,1,2,1,1,1.7425,0.5405,0.08625000000000001,2.3365,0.11914999999999999,5.25,28.5,1160.0
7,1,1,0,1,1,1,1,1,15.25,0.734,0.1435,13.15,0.16899999999999998,17.15,39.5,1614.0
6,0,1,0,1,1,0,1,1,3.25,0.976,0.201,15.85,0.269,6.949999999999999,50.5,4338.0
5,0,0,0,1,1,0,1,0,6.25,0.637,0.259,26.65,0.31899999999999995,8.65,105.5,2068.0
4,0,0,0,0,1,0,0,0,7.75,0.782,0.3165,10.45,0.41900000000000004,10.35,61.5,2522.0
3,0,0,0,0,1,0,0,0,10.75,0.8305,0.3735,18.549999999999997,0.519,12.05,72.5,2976.0
2,0,0,0,0,0,0,0,0,12.25,0.879,0.43100000000000005,21.25,0.369,13.75,83.5,3430.0
1,0,0,0,0,0,0,0,0,13.75,0.9275,0.489,23.950000000000003,0.469,15.45,94.5,3884.0
