name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ROMANN,0.0,9,0.59375,0.59375,21,0.0038892799095217715,1.6842105263157894,1.6842105263157894,3,26,225,24,1259,9.0,12.0,12.0,14.0,17.0,15.0,13.0,13.0,13.125,0.2945752086843504,14.0,6.0,14.0,13.0,13.5,13.0
WIRTIN,0.24113060428849903,15,0.8260869565217391,0.8260869565217391,30,0.04167492661070915,1.2105263157894737,1.2105263157894737,8,69,1369,45,6959,1.0,1.0,1.0,9.0,10.0,9.0,8.0,7.0,5.75,0.5033370781948359,6.0,16.0,3.0,7.0,5.0,4.0
BÄRBEL,0.0,9,0.59375,0.59375,20,0.00456614464012152,1.6842105263157894,1.6842105263157894,5,12,65,11,329,9.0,12.0,12.0,16.0,15.0,13.0,15.0,16.0,13.5,0.30618621784789724,16.0,7.0,14.0,15.0,14.5,16.0
EIN BURSCHE,0.0,2,0.4318181818181818,0.4318181818181818,2,0.012475298268570512,2.3157894736842106,2.3157894736842106,1,1,27,0,125,20.0,20.0,12.0,20.0,12.0,20.0,19.0,17.0,17.5,0.44320263021395917,20.0,13.0,20.0,19.0,19.5,20.0
DER ALTE BAUER,0.014619883040935672,10,0.6551724137931034,0.6551724137931034,25,0.007555691751567644,1.5263157894736843,1.5263157894736843,4,10,80,9,418,5.0,7.0,7.0,11.0,14.0,14.0,16.0,15.0,11.125,0.5321683239352001,12.0,18.0,11.0,16.0,13.5,13.0
FRIEDRIKE,0.04839877471456418,10,0.6785714285714286,0.6785714285714286,47,0.28297487401864374,1.4736842105263157,1.4736842105263157,17,136,1809,113,9063,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.875,0.04419417382415922,3.0,1.0,4.0,4.0,4.0,3.0
DIE BAUERN,0.0,9,0.59375,0.59375,17,0.003072709608865564,1.6842105263157894,1.6842105263157894,2,0,0,0,0,9.0,12.0,12.0,17.0,18.0,17.0,20.0,20.0,15.625,0.512946234303084,19.0,17.0,17.0,20.0,18.5,19.0
EINIGE,0.0,9,0.59375,0.59375,17,0.003072709608865564,1.6842105263157894,1.6842105263157894,2,2,6,2,32,9.0,12.0,12.0,17.0,18.0,17.0,17.0,19.0,15.125,0.4503842605407711,18.0,14.0,17.0,18.0,17.5,18.0
MATTHES,0.13085491506544136,13,0.76,0.76,22,0.03037150876196447,1.3157894736842106,1.3157894736842106,6,67,838,52,4320,2.0,2.0,2.0,13.0,11.0,11.0,9.0,11.0,7.625,0.5973808159672641,8.0,19.0,6.0,11.0,8.5,8.0
KAPPE,0.0,9,0.59375,0.59375,21,0.003889279909521772,1.6842105263157894,1.6842105263157894,3,24,150,24,762,9.0,12.0,12.0,14.0,16.0,15.0,14.0,14.0,13.25,0.273453443412742,15.0,3.0,13.0,14.0,13.5,13.0
OBERFÖRSTER,0.02091339459760512,10,0.6785714285714286,0.6785714285714286,96,0.5336669057438593,1.4736842105263157,1.4736842105263157,43,396,7817,274,40133,5.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.625,0.2829807855667943,1.0,5.0,2.0,1.0,1.5,1.0
AMTMANN,0.0,8,0.5277777777777778,0.5277777777777778,37,0.24643880436932306,1.894736842105263,1.894736842105263,14,112,1438,91,7712,18.0,18.0,12.0,6.0,6.0,6.0,6.0,6.0,9.75,0.6870940359846782,11.0,20.0,12.0,6.0,9.0,9.0
ANDRE,0.0,9,0.59375,0.59375,17,0.003072709608865564,1.6842105263157894,1.6842105263157894,2,2,10,2,50,9.0,12.0,12.0,17.0,18.0,17.0,17.0,18.0,15.0,0.4330127018922193,17.0,12.0,17.0,17.0,17.0,17.0
SCHULZ,0.008632692843219159,9,0.6551724137931034,0.6551724137931034,49,0.32848200971741015,1.5263157894736843,1.5263157894736843,16,60,1092,45,5628,9.0,7.0,10.0,4.0,4.0,5.0,11.0,8.0,7.25,0.3390506704651344,7.0,10.0,8.0,7.0,7.5,7.0
RUDOLPH,0.012280701754385961,9,0.6551724137931034,0.6551724137931034,34,0.20649585775082044,1.5263157894736843,1.5263157894736843,12,45,474,40,2449,9.0,7.0,9.0,7.0,7.0,7.0,12.0,12.0,8.75,0.273453443412742,10.0,3.0,9.0,11.0,10.0,11.0
OBERFÖRSTERIN,0.08056251740462265,11,0.7037037037037037,0.7037037037037037,81,0.4575609261158002,1.4210526315789473,1.4210526315789473,32,275,5674,192,28817,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.75,0.12938729237669142,2.0,2.0,1.0,2.0,1.5,1.0
GERICHTSSCHREIBER,0.014619883040935672,10,0.6551724137931034,0.6551724137931034,27,0.008285522960630605,1.5263157894736843,1.5263157894736843,6,71,1047,53,5607,5.0,7.0,7.0,10.0,13.0,11.0,7.0,9.0,8.625,0.3269003506968359,9.0,9.0,10.0,9.0,9.5,10.0
PASTOR,0.008632692843219159,9,0.6551724137931034,0.6551724137931034,65,0.40571613536426726,1.5263157894736843,1.5263157894736843,25,175,3354,121,18598,9.0,7.0,10.0,3.0,3.0,3.0,3.0,3.0,5.125,0.38053944323439437,4.0,11.0,7.0,3.0,5.0,4.0
ANTON,0.0918685602896129,12,0.7307692307692307,0.7307692307692307,31,0.1483045825600606,1.368421052631579,1.368421052631579,12,144,2554,108,13186,3.0,3.0,3.0,8.0,9.0,7.0,4.0,4.0,5.125,0.30935921676911454,4.0,8.0,5.0,5.0,5.0,4.0
KORDELCHEN,0.0,8,0.5277777777777778,0.5277777777777778,25,0.15770206246981905,1.894736842105263,1.894736842105263,7,65,915,48,4898,18.0,18.0,12.0,11.0,8.0,10.0,10.0,10.0,12.125,0.4745180825999002,13.0,15.0,16.0,10.0,13.0,12.0
