,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,6,15,7,11,8,8,9,9.15,0.6094999999999999,0.011929499999999999,25.5,0.02932,3.079,19.602,386.9415
9,5,5,2,4,2,4,6,6,10.45,0.6485000000000001,0.0844,16.1,0.1355,7.300000000000001,59.400000000000006,1172.5500000000002
8,2,3,1,3,1,3,2,1,7.85,0.688,0.06025,34.9,0.1885,15.7,138.6,1954.25
7,1,2,1,2,1,2,1,1,2.6435,0.5305,0.133,44.3,0.2415,11.5,99.0,2735.95
6,1,1,1,1,1,1,1,1,11.75,0.45099999999999996,0.22899999999999998,6.6530000000000005,0.2945,24.1,178.2,3517.65
5,1,1,0,1,1,1,1,1,13.05,0.7275,0.03615,63.099999999999994,0.34750000000000003,32.5,257.4,5862.75
4,1,1,0,1,1,1,1,1,14.35,0.767,0.10875,81.9,0.401,40.9,376.2,7426.15
3,0,1,0,1,1,0,0,0,3.9499999999999997,0.8065,0.157,91.3,0.4545,19.9,217.8,4299.35
2,0,0,0,0,1,0,0,0,5.25,0.491,0.181,53.7,0.5075000000000001,28.299999999999997,297.0,5081.049999999999
1,0,0,0,0,0,0,0,0,6.550000000000001,0.5700000000000001,0.20500000000000002,72.5,0.08255,36.7,336.6,6644.450000000001
