name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0,16,0.6081081081081081,0.6081081081081081,16,0.042400968346322274,1.6444444444444444,1.6444444444444444,1,1,6,1,30,24.0,24.0,23.0,31.0,31.0,24.0,34.0,41.0,29.0,0.8017837257372732,37.0,29.0,28.0,41.0,34.5,39.0
KANZLER,0.001265468538195811,14,0.5921052631578947,0.5921052631578947,20,0.07478935574242428,1.688888888888889,1.688888888888889,2,67,1033,181,5585,37.0,37.0,21.0,19.0,19.0,18.0,12.0,9.0,21.5,1.2955969390869324,22.0,44.0,28.0,15.0,21.5,19.0
DIE FINNISCHEN HAUPTLEUTE,0.008085618085618085,21,0.6521739130434783,0.6521739130434783,30,0.09961108296420704,1.5333333333333332,1.5333333333333332,3,22,121,29,660,14.0,14.0,13.0,14.0,16.0,15.0,16.0,21.0,15.375,0.3129461101486051,14.0,9.0,13.0,16.0,14.5,14.0
TOCKE,0.0,16,0.6081081081081081,0.6081081081081081,21,0.06535128585977414,1.6444444444444444,1.6444444444444444,2,15,205,39,1032,24.0,24.0,23.0,18.0,22.0,18.0,17.0,18.0,20.5,0.3779644730092272,19.0,11.0,26.0,17.0,21.5,19.0
EINER DER SCHIFFBRÜCHIGEN,0.0,18,0.625,0.625,18,0.056546313908012694,1.6,1.6,1,1,8,2,42,16.0,16.0,23.0,22.0,24.0,24.0,34.0,40.0,24.875,1.038193614959588,26.0,35.0,19.0,40.0,29.5,28.0
ERIK,0.022858272479484604,29,0.7377049180327869,0.7377049180327869,56,0.21580447308389805,1.3555555555555554,1.3555555555555554,7,59,1004,179,5324,10.0,10.0,10.0,10.0,9.0,6.0,13.0,10.0,9.75,0.23857837885513192,10.0,5.0,10.0,10.0,10.0,10.0
ANDRE,0.0,16,0.6081081081081081,0.6081081081081081,16,0.042400968346322274,1.6444444444444444,1.6444444444444444,1,1,14,2,65,24.0,24.0,23.0,31.0,31.0,24.0,34.0,36.0,28.375,0.6510208329999894,36.0,25.0,28.0,37.0,32.5,35.0
STIMMEN VON DEM MEERE HER,0.0,18,0.625,0.625,18,0.056546313908012694,1.6,1.6,1,8,95,17,507,16.0,16.0,23.0,22.0,24.0,24.0,21.0,23.0,21.125,0.41424145391650163,20.0,13.0,19.0,24.0,21.5,19.0
ZWEITER HAUPTMANN,0.0,10,0.5625,0.5625,10,0.04199854956698511,1.7777777777777777,1.7777777777777777,1,3,278,47,1563,41.0,41.0,23.0,41.0,39.0,24.0,25.0,16.0,31.25,1.2830453449285637,39.0,43.0,41.0,22.0,31.5,32.0
VOLK AUF DER STRASSE,0.0,11,0.569620253164557,0.569620253164557,11,0.04020601483575814,1.7555555555555555,1.7555555555555555,1,1,9,3,52,38.0,38.0,23.0,39.0,41.0,24.0,34.0,38.0,34.375,0.8735638724705334,41.0,31.0,39.0,38.0,38.5,42.0
CÄCILIA,0.00031144781144781147,11,0.569620253164557,0.569620253164557,19,0.08940722549053094,1.7555555555555555,1.7555555555555555,4,49,1664,268,8593,38.0,38.0,22.0,21.0,17.0,13.0,15.0,5.0,21.125,1.4568763980810844,20.0,46.0,33.0,12.0,22.5,22.0
ROLF,0.0013103254769921437,19,0.6338028169014085,0.6338028169014085,27,0.10293451216171437,1.5777777777777777,1.5777777777777777,3,82,1539,275,8406,15.0,15.0,20.0,15.0,15.0,15.0,5.0,6.0,13.25,0.6365013185936291,13.0,24.0,15.0,8.0,11.5,11.0
EINZELNE STIMMEN,0.0,18,0.625,0.625,18,0.056546313908012694,1.6,1.6,1,1,6,1,21,16.0,16.0,23.0,22.0,24.0,24.0,34.0,41.0,25.0,1.0711309110334875,27.0,36.0,19.0,41.0,30.0,30.0
FLÜCHTIGE,0.0,18,0.625,0.625,18,0.056546313908012694,1.6,1.6,1,1,4,1,20,16.0,16.0,23.0,22.0,24.0,24.0,34.0,44.0,25.375,1.1743871882207941,28.0,40.0,19.0,44.0,31.5,32.0
ROSSAN,0.028640904549995457,33,0.7894736842105263,0.7894736842105263,59,0.20376746158711476,1.2666666666666666,1.2666666666666666,6,70,869,154,4435,7.0,7.0,7.0,9.0,10.0,9.0,9.0,13.0,8.875,0.2538762001448738,8.0,7.0,7.0,11.0,9.0,9.0
EINE ANDRE STIMME,0.0,16,0.6081081081081081,0.6081081081081081,16,0.04240096834632227,1.6444444444444444,1.6444444444444444,1,2,26,4,150,24.0,24.0,23.0,31.0,35.0,24.0,28.0,33.0,27.75,0.5891504173687008,34.0,22.0,34.0,33.0,33.5,37.0
EIN FINNE,0.02584348591924349,32,0.7758620689655172,0.7758620689655172,48,0.14682513758261598,1.288888888888889,1.288888888888889,4,11,126,25,669,8.0,8.0,9.0,12.0,12.0,13.0,20.0,20.0,12.75,0.6077990151827681,12.0,23.0,10.0,17.0,13.5,13.0
ARBOGA,0.048553231280504004,36,0.8333333333333334,0.8333333333333334,84,0.3030967018880641,1.2,1.2,9,74,894,168,4564,6.0,6.0,5.0,4.0,3.0,4.0,7.0,12.0,5.875,0.34998405575927927,5.0,10.0,6.0,7.0,6.5,6.0
BIÖRN,0.0040499988227260956,18,0.625,0.625,20,0.07041323672318506,1.6,1.6,2,14,232,43,1327,16.0,16.0,14.0,19.0,20.0,18.0,18.0,17.0,17.25,0.23857837885513192,17.0,5.0,16.0,17.0,16.5,16.0
EINE DIRNE,0.0,16,0.6081081081081081,0.6081081081081081,16,0.04240096834632227,1.6444444444444444,1.6444444444444444,1,1,9,1,46,24.0,24.0,23.0,31.0,35.0,24.0,34.0,38.0,29.125,0.757219714764857,38.0,28.0,34.0,38.0,36.0,40.0
DIE FINNEN,0.003721872964297206,22,0.6617647058823529,0.6617647058823529,27,0.08647522188879786,1.511111111111111,1.511111111111111,2,14,87,25,473,12.0,12.0,15.0,15.0,18.0,18.0,18.0,24.0,16.5,0.49099025303098287,16.0,16.0,14.0,21.0,17.5,17.0
EINER DER FINNISCHEN HAUPTLEUTE,0.0,9,0.5555555555555556,0.5555555555555556,9,0.036579355094222894,1.7999999999999998,1.7999999999999998,1,1,40,7,205,43.0,43.0,23.0,43.0,43.0,24.0,34.0,28.0,35.125,1.1288377002791095,44.0,38.0,43.0,34.0,38.5,42.0
ERSTER HAUPTMANN,0.0,10,0.5625,0.5625,10,0.04199854956698511,1.7777777777777777,1.7777777777777777,1,3,52,12,327,41.0,41.0,23.0,41.0,39.0,24.0,25.0,25.0,32.375,1.0916433794317368,40.0,37.0,41.0,25.0,33.0,36.0
GUSTAV,0.06319300508694448,39,0.8823529411764706,0.8823529411764706,70,0.23973889348135213,1.1333333333333333,1.1333333333333333,7,95,1443,258,7417,3.0,3.0,3.0,6.0,6.0,6.0,4.0,7.0,4.75,0.20863074009907004,3.0,3.0,4.0,4.0,4.0,3.0
USBEK,0.062461323749202546,39,0.8823529411764706,0.8823529411764706,82,0.27450985693707775,1.1333333333333333,1.1333333333333333,8,71,731,152,4122,3.0,3.0,4.0,5.0,5.0,5.0,8.0,15.0,6.0,0.49551560448255744,6.0,17.0,3.0,9.0,6.0,5.0
DIE ÜBRIGEN SCHWEDISCHEN GROßEN,0.0,9,0.5555555555555556,0.5555555555555556,9,0.035879178102769804,1.7999999999999998,1.7999999999999998,1,1,3,2,15,43.0,43.0,23.0,43.0,45.0,24.0,34.0,46.0,37.625,1.1800754742812003,46.0,42.0,45.0,46.0,45.5,46.0
DER HAUPTMANN,0.003684777624171563,16,0.6081081081081081,0.6081081081081081,27,0.10559019909844526,1.6444444444444444,1.6444444444444444,3,8,146,27,752,24.0,24.0,16.0,15.0,14.0,15.0,21.0,19.0,18.5,0.5132181379714255,18.0,18.0,18.0,20.0,19.0,18.0
EIN SCHWEDISCHER SOLDAT,0.0,9,0.5555555555555556,0.5555555555555556,9,0.036579355094222894,1.7999999999999998,1.7999999999999998,1,2,33,7,204,43.0,43.0,23.0,43.0,43.0,24.0,28.0,31.0,34.75,1.1432058619763734,42.0,39.0,43.0,30.0,36.5,41.0
GOTHLAND,0.10392119664846938,45,1.0,1.0,121,0.3976727154224616,1.0,1.0,15,518,16424,2786,87029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SKIOLD,0.0025605987727199847,16,0.6081081081081081,0.6081081081081081,34,0.1350292471071475,1.6444444444444444,1.6444444444444444,5,69,906,176,4800,24.0,24.0,17.0,13.0,13.0,12.0,10.0,11.0,15.5,0.7039429765866795,15.0,27.0,17.0,12.0,14.5,14.0
SOLDAT,0.002341208174541508,15,0.6,0.6,18,0.06684833488742409,1.6666666666666667,1.6666666666666667,2,8,40,10,229,35.0,35.0,18.0,22.0,21.0,18.0,21.0,28.0,24.75,0.8807210925469782,25.0,32.0,27.0,23.0,25.0,24.0
