name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ARMER NACHBAR,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,8,149,23,783,1.0,1.0,1.0,1.0,1.0,1.0,17.0,15.0,4.75,0.8705242673240075,15.0,15.0,1.0,15.0,8.0,15.0
DIE GÄSTE,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,7.5,1.5044576621303962,27.0,27.0,1.0,27.0,14.0,27.0
SCHULDKNECHT,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,13,249,39,1349,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,3.75,0.6365013185936291,13.0,13.0,1.0,13.0,7.0,13.0
DER DICKE VETTER,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,48,780,115,3935,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.375,0.09300297614285562,2.0,2.0,1.0,2.0,1.5,2.0
TOD,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,15,342,52,1842,1.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,3.125,0.492975205838416,9.0,9.0,1.0,9.0,5.0,9.0
EIN FRÄULEIN,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,12,121,19,675,1.0,1.0,1.0,1.0,1.0,1.0,13.0,16.0,4.375,0.7875637729279905,14.0,14.0,1.0,14.0,7.5,14.0
EIN GAST,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,17,211,31,1052,1.0,1.0,1.0,1.0,1.0,1.0,8.0,13.0,3.375,0.5745242597140698,11.0,11.0,1.0,11.0,6.0,11.0
VORSÄNGER,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,1,30,7,167,1.0,1.0,1.0,1.0,1.0,1.0,24.0,23.0,6.625,1.3023630651901292,25.0,25.0,1.0,25.0,13.0,25.0
JEDERMANN,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,181,5116,779,26083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
EIN ANDERER GAST,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,9,75,10,352,1.0,1.0,1.0,1.0,1.0,1.0,15.0,21.0,5.25,1.0038986502630631,18.0,19.0,1.0,18.0,9.5,18.0
GLAUBE,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,26,531,92,2855,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,2.25,0.2969337347913552,6.0,6.0,1.0,6.0,3.5,6.0
BUHLSCHAFT,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,20,339,50,1693,1.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,2.75,0.4265203897320067,7.0,7.0,1.0,7.0,4.0,7.0
KNECHT,0.0,26,1.0,1.0,26,0.1924500897298752,1.0,1.0,1,5,66,10,350,1.0,1.0,1.0,1.0,1.0,1.0,18.0,22.0,5.75,1.1075028216668343,21.0,21.0,1.0,21.0,11.0,21.0
