name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DELOMER,0.0531658817373103,13,0.9333333333333333,0.9333333333333333,76,0.50171233085278,1.0714285714285714,1.0714285714285714,31,397,4515,312,24344,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.5,0.0668153104781061,1.0,1.0,2.0,1.0,1.5,1.0
DOMINIQUE,0.1630559916274202,14,1.0,1.0,74,0.4998590391883254,1.0,1.0,30,361,5443,262,28918,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.5,0.0668153104781061,1.0,1.0,1.0,2.0,1.5,1.0
GRAF,0.011773940345368918,11,0.8235294117647058,0.8235294117647058,29,0.18725986780695192,1.2142857142857144,1.2142857142857144,9,123,1439,100,8063,5.0,5.0,6.0,5.0,5.0,6.0,4.0,7.0,5.375,0.11451567266411304,5.0,3.0,5.0,5.0,5.0,5.0
GÄRTNER,0.0,2,0.5384615384615384,0.5384615384615384,2,0.01297484423606994,1.8571428571428572,1.8571428571428572,1,1,18,1,89,15.0,15.0,12.0,15.0,15.0,13.0,14.0,13.0,14.0,0.1494035761667992,15.0,6.0,15.0,13.0,14.0,15.0
NEURATH,0.01098901098901099,10,0.7777777777777778,0.7777777777777778,19,0.08197129302622273,1.2857142857142856,1.2857142857142856,7,65,1177,35,6594,8.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,8.5,0.11572751247156893,9.0,4.0,9.0,9.0,9.0,10.0
SCHULZ,0.01098901098901099,10,0.7777777777777778,0.7777777777777778,14,0.07000984273794116,1.2857142857142856,1.2857142857142856,4,28,517,15,2690,8.0,8.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,0.1889822365046136,11.0,10.0,10.0,12.0,11.0,11.0
DER KLEINE DOMINIQUE,0.011773940345368918,11,0.8235294117647058,0.8235294117647058,26,0.17753003206450035,1.2142857142857144,1.2142857142857144,6,25,260,17,1417,5.0,5.0,6.0,7.0,6.0,8.0,12.0,12.0,7.625,0.3594235215691133,8.0,13.0,6.0,10.0,8.0,8.0
HORFMANN,0.03785975928833072,12,0.875,0.875,28,0.16902354643107095,1.1428571428571428,1.1428571428571428,11,111,1641,76,8966,3.0,3.0,3.0,6.0,7.0,5.0,5.0,5.0,4.625,0.18824257716346443,3.0,9.0,4.0,4.0,4.0,3.0
MARQUIS,0.02197802197802198,6,0.6363636363636364,0.6363636363636364,15,0.13175360026090363,1.5714285714285714,1.5714285714285714,6,93,1666,64,9305,13.0,13.0,5.0,10.0,9.0,8.0,8.0,4.0,8.75,0.4105201404490232,10.0,14.0,11.0,6.0,8.5,9.0
DIE BAUERN,0.0,9,0.7368421052631579,0.7368421052631579,9,0.045449818644550964,1.3571428571428572,1.3571428571428572,1,4,2,2,12,10.0,10.0,12.0,13.0,14.0,13.0,13.0,15.0,12.5,0.22160131510697959,13.0,11.0,12.0,14.0,13.0,13.0
BEDIENTER,0.0,5,0.6086956521739131,0.6086956521739131,10,0.054621627167275005,1.6428571428571428,1.6428571428571428,5,49,377,42,2018,14.0,14.0,12.0,12.0,12.0,11.0,10.0,11.0,12.0,0.1767766952966369,12.0,8.0,14.0,10.0,12.0,12.0
DER ALTE DOMINIQUE,0.010910518053375198,9,0.7368421052631579,0.7368421052631579,58,0.4500287360847577,1.3571428571428572,1.3571428571428572,23,252,4366,183,23235,10.0,10.0,11.0,3.0,3.0,3.0,3.0,3.0,5.75,0.4759858191164943,6.0,15.0,8.0,3.0,5.5,6.0
GRÄFIN,0.011773940345368918,11,0.8235294117647058,0.8235294117647058,24,0.14775743518797416,1.2142857142857144,1.2142857142857144,6,105,1442,82,8096,5.0,5.0,6.0,8.0,8.0,8.0,6.0,6.0,6.5,0.16366341767699427,7.0,7.0,7.0,6.0,6.5,7.0
ETLICHE,0.0,7,0.6666666666666666,0.6666666666666666,7,0.04810025137609969,1.5,1.5,1,1,7,1,33,12.0,12.0,12.0,14.0,13.0,13.0,14.0,14.0,13.0,0.11572751247156893,14.0,4.0,13.0,14.0,13.5,14.0
MADAM DOMINIQUE,0.029356357927786503,12,0.875,0.875,49,0.37736527974321665,1.1428571428571428,1.1428571428571428,16,96,1150,60,6252,3.0,3.0,4.0,4.0,4.0,4.0,7.0,9.0,4.75,0.2651650429449553,4.0,12.0,3.0,6.0,4.5,4.0
