,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,10,3,4,5,5,6,11.0,0.8385,0.0080685,5.663,0.03715,5.5,20.602,271.3295
9,2,2,2,3,3,4,4,4,8.6,0.654,0.02445,13.100000000000001,0.184,2.485,100.0,1362.25
8,2,2,1,3,2,2,2,2,9.8,0.746,0.040749999999999995,27.9,0.0864,29.5,60.400000000000006,1906.35
7,2,2,1,2,2,1,2,2,12.2,0.792,0.05705,20.5,0.1355,8.5,377.2,4626.85
6,2,2,1,2,2,1,1,1,13.4,0.885,0.155,72.3,0.47750000000000004,11.5,139.6,5170.95
5,1,1,0,1,1,1,1,0,2.5940000000000003,0.5615,0.07335,50.099999999999994,0.3795,14.5,258.4,818.1500000000001
4,1,1,0,1,1,1,0,0,5.0,0.608,0.08965000000000001,57.5,0.4285,23.5,179.2,2450.45
3,1,1,0,0,0,0,0,0,6.199999999999999,0.931,0.1059,35.3,0.23249999999999998,17.5,218.8,2994.55
2,1,1,0,0,0,0,0,0,7.4,0.977,0.122,42.7,0.2815,20.5,298.0,3538.6499999999996
1,0,0,0,0,0,0,0,0,3.8000000000000003,0.7,0.1385,64.9,0.3305,26.5,337.6,4082.75
