name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ETZEL,0.007151401230348598,11,0.6896551724137931,0.6896551724137931,49,0.28966569818950794,1.45,1.45,15,70,2416,336,12437,11.0,11.0,14.0,7.0,4.0,6.0,5.0,3.0,7.625,0.4907060328896372,7.0,21.0,9.0,5.0,7.0,7.0
GUNTHER,0.06962425001898687,17,0.8695652173913043,0.8695652173913043,55,0.261902878805084,1.1500000000000001,1.1500000000000001,13,70,1364,206,7062,2.0,2.0,2.0,4.0,6.0,7.0,5.0,7.0,4.375,0.2749797070434731,4.0,14.0,3.0,7.0,5.0,5.0
VOLKER,0.03485588972431078,14,0.7692307692307693,0.7692307692307693,53,0.27406406179543524,1.2999999999999998,1.2999999999999998,18,72,1409,206,7166,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,5.125,0.08010874305770696,6.0,2.0,5.0,6.0,5.5,6.0
RÜDEGER,0.055898268398268405,15,0.8,0.8,52,0.26092045146359444,1.25,1.25,20,83,1760,259,8964,4.0,4.0,4.0,6.0,7.0,4.0,3.0,4.0,4.5,0.16366341767699427,5.0,4.0,4.0,3.0,3.5,4.0
WERBEL,0.011812865497076023,10,0.6666666666666666,0.6666666666666666,27,0.13568628060360283,1.5,1.5,12,52,607,105,3101,14.0,14.0,12.0,11.0,10.0,8.0,8.0,9.0,10.75,0.30435822409034485,11.0,18.0,14.0,8.0,11.0,10.0
UTE,0.0,6,0.5882352941176471,0.5882352941176471,10,0.05071984411832923,1.7,1.7,4,26,440,73,2297,15.0,15.0,15.0,16.0,15.0,13.0,11.0,11.0,13.875,0.24492619150616435,15.0,11.0,15.0,11.0,13.0,13.0
KRIEMHILD,0.01734772537404116,13,0.7407407407407407,0.7407407407407407,79,0.3978547342228108,1.35,1.35,35,221,5573,800,28619,7.0,7.0,8.0,2.0,2.0,2.0,1.0,1.0,3.75,0.37648515432692886,3.0,20.0,5.0,1.0,3.0,2.0
HAGEN,0.16962425001898687,18,0.9090909090909091,0.9090909090909091,111,0.4929093060658703,1.1,1.1,37,197,4330,630,22186,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.25,0.057863756235784464,1.0,1.0,1.0,2.0,1.5,1.0
GISELHER,0.01275499354446723,13,0.7407407407407407,0.7407407407407407,42,0.2214793672980206,1.35,1.35,12,47,580,96,2950,7.0,7.0,11.0,8.0,8.0,8.0,9.0,10.0,8.5,0.1767766952966369,9.0,5.0,8.0,9.0,8.5,8.0
IRING,0.0,6,0.5405405405405406,0.5405405405405406,6,0.01699814533177727,1.8499999999999999,1.8499999999999999,1,5,105,18,546,15.0,19.0,15.0,17.0,19.0,17.0,17.0,18.0,17.125,0.1940809385650371,19.0,6.0,19.0,18.0,18.5,18.0
KAPLAN,0.0,6,0.5555555555555556,0.5555555555555556,6,0.02256173535411122,1.7999999999999998,1.7999999999999998,1,1,8,2,33,15.0,17.0,15.0,17.0,18.0,17.0,20.0,20.0,17.375,0.2403262291731209,20.0,10.0,18.0,20.0,19.0,20.0
RUMOLT,0.0,6,0.5555555555555556,0.5555555555555556,13,0.04543871615448336,1.7999999999999998,1.7999999999999998,4,16,373,56,1945,15.0,17.0,15.0,15.0,16.0,13.0,14.0,12.0,14.625,0.1997487260821169,16.0,8.0,16.0,13.0,14.5,15.0
THÜRING,0.0,6,0.5405405405405406,0.5405405405405406,6,0.01699814533177727,1.8499999999999999,1.8499999999999999,1,5,198,27,999,15.0,19.0,15.0,17.0,19.0,17.0,17.0,16.0,16.875,0.1940809385650371,17.0,6.0,19.0,17.0,18.0,17.0
