,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,6,4,5,5,6,5,6.75,0.8035,0.0035540999999999997,7.0889999999999995,0.1755,2.3499999999999996,9.9595,221.494
9,3,3,3,2,1,2,2,2,8.75,0.982,0.06820000000000001,9.3,0.1325,5.95,46.25,1066.0
8,2,2,1,2,1,1,2,2,4.2475000000000005,0.661,0.04665,22.5,0.38749999999999996,1.4455,172.95,4014.4
7,1,1,0,1,1,1,0,1,5.75,0.732,0.01079,15.9,0.43,7.75,28.150000000000002,644.8
6,1,1,0,1,1,1,0,0,7.75,0.911,0.01795,26.9,0.472,9.55,64.35,1487.1999999999998
5,0,0,0,0,1,0,0,0,4.75,0.6965,0.025099999999999997,11.5,0.5145,3.25,82.45,1908.4
4,0,0,0,0,0,0,0,0,5.25,0.768,0.0323,13.7,0.218,4.15,100.55,2329.6
3,0,0,0,0,0,0,0,0,6.25,0.839,0.0395,18.1,0.26,5.05,118.65,2750.8
2,0,0,0,0,0,0,0,0,7.25,0.875,0.0538,20.299999999999997,0.3025,6.85,136.75,3172.0
1,0,0,0,0,0,0,0,0,8.25,0.9465,0.061,24.700000000000003,0.345,8.649999999999999,154.85000000000002,3593.2
