name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SANDMÄNNCHEN,0.0,2,0.5625,0.5625,2,0.1093916977266909,1.7777777777777777,1.7777777777777777,1,1,82,13,413,7.0,7.0,3.0,8.0,8.0,6.0,8.0,6.0,6.625,0.21062725200152588,8.0,7.0,8.0,6.0,7.0,7.0
KUCHENKINDER,0.0,3,0.6,0.6,3,0.11971538818530843,1.6666666666666667,1.6666666666666667,1,4,78,15,407,3.0,3.0,3.0,6.0,6.0,6.0,6.0,8.0,5.125,0.23563648607851156,6.0,8.0,5.0,6.0,5.5,5.0
HEXE,0.0,2,0.5625,0.5625,4,0.2187833954533818,1.7777777777777777,1.7777777777777777,2,19,804,159,4340,7.0,7.0,3.0,4.0,4.0,4.0,5.0,4.0,4.75,0.18600595228571123,5.0,5.0,7.0,5.0,6.0,6.0
GRETEL,0.3611111111111111,9,1.0,1.0,19,0.6342647361028739,1.0,1.0,9,113,1875,332,10042,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
ANDRE KUCHENKINDER,0.0,3,0.6,0.6,3,0.11971538818530843,1.6666666666666667,1.6666666666666667,1,1,18,2,67,3.0,3.0,3.0,6.0,6.0,6.0,8.0,9.0,5.5,0.2912411862553588,7.0,10.0,5.0,9.0,7.0,7.0
MUTTER,0.0,3,0.6,0.6,6,0.2449359873038632,1.6666666666666667,1.6666666666666667,3,39,636,112,3355,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.375,0.09300297614285562,3.0,3.0,3.0,4.0,3.5,3.0
HÄNSEL,0.3611111111111111,9,1.0,1.0,19,0.6342647361028739,1.0,1.0,9,115,1650,289,8788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
ECHO,0.0,2,0.5625,0.5625,2,0.1093916977266909,1.7777777777777777,1.7777777777777777,1,2,3,2,9,7.0,7.0,3.0,8.0,8.0,6.0,7.0,10.0,7.0,0.25,10.0,9.0,8.0,9.0,8.5,10.0
VATER,0.0,3,0.6,0.6,4,0.1516360713642139,1.6666666666666667,1.6666666666666667,2,43,1183,238,6502,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.5,0.0944911182523068,4.0,4.0,4.0,3.0,3.5,3.0
TAUMÄNNCHEN,0.0,2,0.5625,0.5625,2,0.1093916977266909,1.7777777777777777,1.7777777777777777,1,1,81,13,399,7.0,7.0,3.0,8.0,8.0,6.0,8.0,7.0,6.75,0.20863074009907004,9.0,6.0,8.0,8.0,8.0,9.0
