name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ESTHER,0.05167451596023024,13,0.9333333333333333,0.9333333333333333,28,0.34890816724603874,1.0714285714285714,1.0714285714285714,4,50,1131,161,6025,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,3.5,0.1336306209562122,4.0,7.0,3.0,6.0,4.5,5.0
DIENER,0.005494505494505494,9,0.7368421052631579,0.7368421052631579,14,0.1849538116541723,1.3571428571428572,1.3571428571428572,2,8,26,8,144,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.375,0.09300297614285562,9.0,3.0,8.0,9.0,8.5,9.0
GARCERAN,0.07914704343275772,14,1.0,1.0,34,0.40422896787023516,1.0,1.0,5,80,1363,193,7095,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.625,0.17598574414666987,2.0,10.0,1.0,2.0,1.5,2.0
KAMMERFRAU,0.0,6,0.6363636363636364,0.6363636363636364,6,0.07820211992765312,1.5714285714285714,1.5714285714285714,1,2,15,2,69,14.0,14.0,10.0,14.0,15.0,10.0,11.0,11.0,12.375,0.2582349082853495,14.0,15.0,15.0,11.0,13.0,14.0
KÖNIGIN,0.021454735740450023,11,0.8235294117647058,0.8235294117647058,27,0.3461028637254071,1.2142857142857144,1.2142857142857144,4,35,509,73,2583,6.0,6.0,6.0,5.0,5.0,3.0,7.0,7.0,5.625,0.1628087725786649,7.0,8.0,5.0,7.0,6.0,7.0
DRITTER BITTSTELLER,0.0,7,0.6666666666666666,0.6666666666666666,7,0.08134516358722435,1.5,1.5,1,2,14,2,75,10.0,10.0,10.0,10.0,12.0,10.0,11.0,12.0,10.625,0.11451567266411304,11.0,6.0,11.0,12.0,11.5,11.0
ZWEITER BITTSTELLER,0.0,7,0.6666666666666666,0.6666666666666666,7,0.08134516358722435,1.5,1.5,1,3,29,4,146,10.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,10.125,0.10431537004953502,10.0,5.0,11.0,10.0,10.5,10.0
BITTSTELLER,0.0,7,0.6666666666666666,0.6666666666666666,7,0.08134516358722435,1.5,1.5,1,1,4,1,24,10.0,10.0,10.0,10.0,12.0,10.0,13.0,14.0,11.125,0.2052600702245116,13.0,11.0,11.0,14.0,12.5,12.0
RAHEL,0.03610675039246468,12,0.875,0.875,22,0.2767868857300133,1.1428571428571428,1.1428571428571428,3,64,2140,288,10821,5.0,5.0,5.0,7.0,7.0,7.0,3.0,2.0,5.125,0.23563648607851156,6.0,13.0,7.0,3.0,5.0,6.0
KNAPPE,0.005494505494505494,9,0.7368421052631579,0.7368421052631579,14,0.1849538116541723,1.3571428571428572,1.3571428571428572,2,9,110,19,605,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,1.0,8.0,8.0,8.0,8.0
EINE WEIBERSTIMME,0.0,7,0.6666666666666666,0.6666666666666666,7,0.10348233862378507,1.5,1.5,1,1,2,1,8,10.0,10.0,10.0,10.0,10.0,10.0,13.0,15.0,11.0,0.24090602791485788,12.0,14.0,10.0,15.0,12.5,12.0
ISAAK,0.05167451596023024,13,0.9333333333333333,0.9333333333333333,28,0.34890816724603874,1.0714285714285714,1.0714285714285714,4,49,1365,194,7000,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.375,0.09300297614285562,3.0,3.0,3.0,3.0,3.0,3.0
KÖNIG,0.07914704343275772,14,1.0,1.0,34,0.40422896787023516,1.0,1.0,5,164,7244,978,38263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
VON AUSSEN,0.0,6,0.6363636363636364,0.6363636363636364,6,0.0919108387571172,1.5714285714285714,1.5714285714285714,1,1,9,3,40,14.0,14.0,10.0,14.0,11.0,10.0,13.0,13.0,12.375,0.2209708691207961,14.0,12.0,14.0,13.0,13.5,15.0
MANRIQUE,0.021454735740450023,11,0.8235294117647058,0.8235294117647058,27,0.3461028637254071,1.2142857142857144,1.2142857142857144,4,44,1564,217,8303,6.0,6.0,6.0,5.0,5.0,3.0,6.0,3.0,5.0,0.16366341767699427,5.0,9.0,5.0,3.0,4.0,4.0
