,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,6,23,8,7,15,22,26,21.75,0.7104999999999999,0.007128,6.8115,0.024585000000000003,1.99,12.187000000000001,532.0755
9,5,6,4,5,6,5,4,4,4.2375,0.75,0.02155,22.25,0.09125,4.0,34.900000000000006,1612.3500000000001
8,5,5,2,3,4,5,3,1,19.25,0.512,0.0359,14.549999999999999,0.0579,6.0,57.5,2687.25
7,4,4,1,3,4,2,2,1,6.75,0.552,0.0503,29.95,0.1905,10.0,80.1,3762.15
6,4,3,1,3,4,2,1,1,16.75,0.671,0.06470000000000001,37.65,0.323,12.0,102.7,10211.55
5,3,3,1,3,3,2,1,0,11.75,0.869,0.07905000000000001,45.35,0.1245,14.0,215.7,4837.05
4,3,2,1,3,2,1,0,0,26.75,0.5914999999999999,0.1365,68.44999999999999,0.2565,8.0,125.3,5911.95
3,1,2,0,3,2,1,0,0,14.25,0.631,0.0936,76.15,0.2895,20.0,147.89999999999998,6986.85
2,0,2,0,2,1,0,0,0,9.25,0.79,0.10800000000000001,60.75,0.15749999999999997,16.0,170.5,8061.75
1,0,0,0,0,0,0,0,0,24.25,0.8295,0.122,53.05,0.22349999999999998,18.0,193.10000000000002,9136.650000000001
