,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,6,6,6,6,6,2,2,4.999499999999999,0.9999,-0.0001,4.999499999999999,0.40820999999999996,0.9999,54.75,424.0
9,0,0,0,0,0,0,1,2,4.9955,0.9991,-0.0009,4.9955,0.40788,0.9991,21.2665,650.0
8,0,0,0,0,0,0,1,1,4.9965,0.9993,-0.0007,4.9965,0.40796,0.9993,38.05,196.87
7,0,0,0,0,0,0,1,1,4.9975000000000005,0.9995,-0.0005,4.9975000000000005,0.40803999999999996,0.9995,71.45,2232.0
6,0,0,0,0,0,0,1,0,4.9985,0.9997,-0.00030000000000000003,4.9985,0.40812499999999996,0.9997,171.65,876.0
5,0,0,0,0,0,0,0,0,5.000500000000001,1.0001,0.0001,5.000500000000001,0.40829000000000004,1.0001,88.15,1102.0
4,0,0,0,0,0,0,0,0,5.0015,1.0003,0.00030000000000000003,5.0015,0.40837,1.0003,104.85,1328.0
3,0,0,0,0,0,0,0,0,5.0024999999999995,1.0005,0.0005,5.0024999999999995,0.40845,1.0005,121.55000000000001,1554.0
2,0,0,0,0,0,0,0,0,5.0035,1.0007,0.0007,5.0035,0.40853,1.0007,138.25,1780.0
1,0,0,0,0,0,0,0,0,5.0045,1.0009,0.0009,5.0045,0.408615,1.0009,154.95,2006.0
