name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SEIN BRIDGEPARTNER,0.0,15,0.6153846153846154,0.6153846153846154,15,0.061285689747781015,1.625,1.625,1,1,22,0,124,23.0,23.0,5.0,23.0,23.0,5.0,33.0,28.0,20.375,1.2658592155415342,34.0,20.0,23.0,32.0,27.5,37.0
DER PSYCHIATER,0.0,19,0.6557377049180327,0.6557377049180327,19,0.20930499018863688,1.5250000000000001,1.5250000000000001,1,2,6,1,37,4.0,4.0,5.0,4.0,3.0,5.0,25.0,39.0,11.125,1.6789631951636956,14.0,30.0,3.0,34.0,18.5,17.0
DER PRÄSIDENT,0.06923076923076923,25,0.7272727272727273,0.7272727272727273,26,0.23780070696353287,1.375,1.375,2,4,84,5,450,2.0,2.0,2.0,2.0,2.0,2.0,15.0,17.0,5.5,0.8128433340529315,3.0,7.0,2.0,16.0,9.0,4.0
VERWORRENE STIMMEN,0.0,19,0.6557377049180327,0.6557377049180327,19,0.20930499018863688,1.5250000000000001,1.5250000000000001,1,1,12,1,50,4.0,4.0,5.0,4.0,3.0,5.0,33.0,35.0,11.625,1.729390762874107,17.0,32.0,3.0,37.0,20.0,20.0
DER BEHÄBIGE HERR,0.0,7,0.547945205479452,0.547945205479452,7,0.040090821154574956,1.8250000000000002,1.8250000000000002,1,9,256,5,1371,36.0,36.0,5.0,36.0,40.0,5.0,10.0,10.0,22.25,1.9918920474190935,40.0,39.0,40.0,9.0,24.5,32.0
DER DELINQUENT,0.0,19,0.6557377049180327,0.6557377049180327,19,0.20930499018863688,1.5250000000000001,1.5250000000000001,1,3,11,3,60,4.0,4.0,5.0,4.0,3.0,5.0,20.0,36.0,10.125,1.4811878377553218,13.0,27.0,3.0,31.0,17.0,15.0
EIN ANDERER HERR,0.0,15,0.6153846153846154,0.6153846153846154,15,0.061285689747781,1.625,1.625,1,2,48,0,296,23.0,23.0,5.0,23.0,30.0,5.0,25.0,19.0,19.125,1.1542574530221335,29.0,13.0,30.0,21.0,25.5,34.0
EIN JUNGES MÄDCHEN,0.0,15,0.6153846153846154,0.6153846153846154,15,0.061285689747781015,1.625,1.625,1,1,19,1,95,23.0,23.0,5.0,23.0,23.0,5.0,33.0,30.0,20.625,1.2954892553449782,35.0,23.0,23.0,33.0,28.0,39.0
DER ANGESPROCHENE,0.0,19,0.6557377049180327,0.6557377049180327,19,0.20930499018863688,1.5250000000000001,1.5250000000000001,1,2,30,1,166,4.0,4.0,5.0,4.0,3.0,5.0,25.0,24.0,9.25,1.179720759937949,9.0,17.0,3.0,26.0,14.5,10.0
DIE EINE DAME,0.0,15,0.6153846153846154,0.6153846153846154,15,0.061285689747781,1.625,1.625,1,3,17,3,96,23.0,23.0,5.0,23.0,30.0,5.0,20.0,32.0,20.125,1.2685014710842306,32.0,22.0,30.0,28.0,29.0,40.0
DER ANDERE,0.0,19,0.6557377049180327,0.6557377049180327,19,0.20930499018863688,1.5250000000000001,1.5250000000000001,1,2,28,2,146,4.0,4.0,5.0,4.0,3.0,5.0,25.0,25.0,9.375,1.2081152307268896,10.0,19.0,3.0,27.0,15.0,12.0
