name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
JUSTITIÄR,0.0,4,0.4782608695652174,0.4782608695652174,5,0.07222620273265935,2.090909090909091,2.090909090909091,2,20,726,9,4407,6.0,11.0,6.0,8.0,8.0,7.0,7.0,7.0,7.5,0.2004459314343183,7.0,10.0,8.0,6.0,7.0,7.0
DIE ARBEITER,0.0,4,0.4782608695652174,0.4782608695652174,6,0.0979393188855504,2.090909090909091,2.090909090909091,2,3,22,3,124,6.0,11.0,6.0,7.0,7.0,7.0,11.0,11.0,8.25,0.28931878117892235,9.0,12.0,7.0,10.0,8.5,8.0
SEKRETÄR,0.05454545454545454,5,0.5789473684210527,0.5789473684210527,8,0.10185414670459973,1.7272727272727273,1.7272727272727273,4,26,251,21,1449,4.0,5.0,5.0,6.0,6.0,6.0,6.0,9.0,5.875,0.18221724671391565,6.0,7.0,5.0,6.0,5.5,6.0
GRIESICKE,0.0,2,0.5,0.5,2,0.028669177133050193,2.0,2.0,1,4,80,1,626,9.0,7.0,6.0,9.0,9.0,9.0,10.0,10.0,8.625,0.17598574414666987,11.0,6.0,9.0,10.0,9.5,11.0
WILDENHAIN,0.09696969696969696,6,0.6875,0.6875,14,0.2623446214065127,1.4545454545454546,1.4545454545454546,7,59,1198,38,7075,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,3.875,0.1940809385650371,4.0,9.0,3.0,5.0,4.0,4.0
KANZELLIST,0.0,2,0.5,0.5,2,0.028669177133050193,2.0,2.0,1,1,18,1,91,9.0,7.0,6.0,9.0,9.0,9.0,12.0,12.0,9.125,0.2625212576426635,12.0,11.0,9.0,12.0,10.5,12.0
WELTING,0.0,3,0.5789473684210527,0.5789473684210527,15,0.3280405045035707,1.7272727272727273,1.7272727272727273,10,84,1375,63,7895,8.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.875,0.18221724671391565,5.0,7.0,6.0,4.0,5.0,5.0
PETERMANN,0.0,2,0.5,0.5,2,0.028669177133050193,2.0,2.0,1,6,335,2,1967,9.0,7.0,6.0,9.0,9.0,9.0,9.0,8.0,8.25,0.1456205931276794,9.0,4.0,9.0,9.0,9.0,10.0
BALDINGER,0.09696969696969696,6,0.6875,0.6875,36,0.6127443486994654,1.4545454545454546,1.4545454545454546,26,246,5000,160,28659,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.375,0.06469364618834571,1.0,1.0,2.0,1.0,1.5,1.0
PÖNCHES,0.0,2,0.5,0.5,2,0.028669177133050193,2.0,2.0,1,10,856,4,4834,9.0,7.0,6.0,9.0,9.0,9.0,8.0,6.0,7.875,0.1695253352325672,8.0,5.0,9.0,8.0,8.5,8.0
HERMINE,0.606060606060606,9,0.8461538461538461,0.8461538461538461,33,0.552658667887024,1.1818181818181819,1.1818181818181819,22,198,2604,160,14569,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.625,0.06469364618834571,2.0,1.0,1.0,2.0,1.5,1.0
HUBERT,0.07272727272727272,5,0.6470588235294118,0.6470588235294118,17,0.33794496349925496,1.5454545454545454,1.5454545454545454,11,115,1898,89,10620,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.375,0.06469364618834571,3.0,1.0,4.0,3.0,3.5,3.0
