name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
DER KÖNIG,0.26844583987441134,12,0.875,0.875,37,0.31350002274647887,1.1428571428571428,1.1428571428571428,13,104,2466,95,13011,1.0,1.0,1.0,6.0,5.0,5.0,4.0,6.0,3.625,0.2829807855667943,4.0,14.0,3.0,4.0,3.5,4.0
DER ZWEYTE,0.0,2,0.5,0.5,2,0.0077188051419076345,2.0,2.0,1,3,31,3,149,12.0,12.0,8.0,12.0,12.0,10.0,13.0,14.0,11.625,0.2308514906044267,15.0,9.0,12.0,14.0,13.0,15.0
ALLE BAUREN,0.0,9,0.7368421052631579,0.7368421052631579,11,0.08209112683295568,1.3571428571428572,1.3571428571428572,2,1,23,0,121,8.0,8.0,8.0,8.0,9.0,8.0,15.0,15.0,9.875,0.397747564417433,11.0,15.0,8.0,15.0,11.5,11.0
GÜRGE,0.0,2,0.5,0.5,2,0.007668558681163341,2.0,2.0,1,7,126,5,645,12.0,12.0,8.0,12.0,14.0,10.0,9.0,10.0,10.875,0.24492619150616435,12.0,13.0,14.0,10.0,12.0,12.0
MICHEL,0.004709576138147566,10,0.7777777777777778,0.7777777777777778,53,0.43789047763157685,1.2857142857142856,1.2857142857142856,16,184,6103,122,31276,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.25,0.08838834764831845,2.0,1.0,2.0,2.0,2.0,2.0
HANNCHEN,0.004709576138147566,10,0.7777777777777778,0.7777777777777778,26,0.2129749233233786,1.2857142857142856,1.2857142857142856,8,78,2805,169,14868,3.0,3.0,3.0,7.0,7.0,7.0,6.0,4.0,5.0,0.24090602791485788,7.0,12.0,7.0,6.0,6.5,7.0
GRAF VON SCHMETTERLING,0.0,9,0.7368421052631579,0.7368421052631579,9,0.06450700261590393,1.3571428571428572,1.3571428571428572,1,7,207,3,1090,8.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,8.875,0.12387890112063936,8.0,2.0,9.0,9.0,9.0,8.0
CHOR,0.0,7,0.6666666666666666,0.6666666666666666,11,0.10183324476019574,1.5,1.5,2,12,206,21,939,11.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0,8.875,0.1695253352325672,8.0,5.0,11.0,8.0,9.5,9.0
QUAAS,0.0,2,0.5,0.5,2,0.007668558681163341,2.0,2.0,1,5,96,2,451,12.0,12.0,8.0,12.0,14.0,10.0,11.0,12.0,11.375,0.2209708691207961,13.0,8.0,14.0,11.0,12.5,13.0
VON TREUWERTH,0.0,9,0.7368421052631579,0.7368421052631579,9,0.06450700261590393,1.3571428571428572,1.3571428571428572,1,3,122,2,648,8.0,8.0,8.0,10.0,10.0,10.0,13.0,11.0,9.75,0.21906864547116603,10.0,7.0,9.0,12.0,10.5,10.0
RÖSCHEN,0.004709576138147566,10,0.7777777777777778,0.7777777777777778,60,0.4899903674365974,1.2857142857142856,1.2857142857142856,22,213,4568,269,22898,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.875,0.12387890112063936,1.0,2.0,1.0,1.0,1.0,1.0
MARTHE,0.004709576138147566,10,0.7777777777777778,0.7777777777777778,49,0.4296849269266703,1.2857142857142856,1.2857142857142856,14,76,1317,64,6679,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,4.0,0.23145502494313785,5.0,10.0,5.0,6.0,5.5,5.0
TÖFFEL,0.26844583987441134,12,0.875,0.875,38,0.31145920730533894,1.1428571428571428,1.1428571428571428,14,117,3396,135,16953,1.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,2.875,0.23563648607851156,3.0,11.0,3.0,3.0,3.0,3.0
CHRISTEL,0.004709576138147566,10,0.7777777777777778,0.7777777777777778,41,0.34236934711338685,1.2857142857142856,1.2857142857142856,12,100,2699,165,14054,3.0,3.0,3.0,4.0,4.0,6.0,5.0,5.0,4.125,0.1407489533074504,6.0,4.0,6.0,5.0,5.5,5.0
DER ERSTE,0.0,2,0.5,0.5,2,0.0077188051419076345,2.0,2.0,1,4,36,4,193,12.0,12.0,8.0,12.0,12.0,10.0,12.0,13.0,11.375,0.1997487260821169,13.0,6.0,12.0,13.0,12.5,13.0
