,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,13,4,4,8,8,8,9.5,0.781,0.013266,4.8709999999999996,0.031545,2.0395,11.494,323.96
9,4,4,2,4,4,2,2,3,2.495,0.519,0.255,10.7,0.07995,12.55,75.19999999999999,2759.0
8,3,3,0,3,3,2,2,1,8.5,0.7435,0.04025,39.7,0.32099999999999995,14.649999999999999,96.4,1543.0
7,2,2,0,2,2,1,1,1,11.5,0.856,0.06709999999999999,51.3,0.41800000000000004,8.35,117.6,3367.0
6,1,1,0,1,1,1,1,1,6.5,0.669,0.09375,28.1,0.225,16.75,181.2,4583.0
5,0,0,0,1,1,1,1,1,3.5,0.5565,0.1205,57.1,0.46599999999999997,20.95,202.4,5799.0
4,0,0,0,0,0,0,0,0,4.5,0.5934999999999999,0.14750000000000002,16.5,0.128,4.15,32.8,935.0
3,0,0,0,0,0,0,0,0,5.5,0.631,0.1745,22.299999999999997,0.1765,6.25,54.0,2151.0
2,0,0,0,0,0,0,0,0,7.5,0.7064999999999999,0.2015,33.9,0.273,10.45,138.8,3975.0
1,0,0,0,0,0,0,0,0,10.5,0.8185,0.22849999999999998,45.5,0.3695,18.85,160.0,5191.0
