name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
FERDINAND,0.012480547774665422,9,0.6666666666666666,0.6666666666666666,20,0.17523216197469565,1.5,1.5,6,35,425,28,2343,8.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.5,0.0944911182523068,9.0,2.0,9.0,9.0,9.0,9.0
EIN BEDIENTER,0.0028322440087145966,8,0.6428571428571429,0.6428571428571429,18,0.17293846477200525,1.5555555555555554,1.5555555555555554,5,5,58,4,297,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,11.25,0.28931878117892235,10.0,16.0,10.0,14.0,12.0,12.0
KARL,0.13934018051665112,14,0.8181818181818182,0.8181818181818182,50,0.41997413329109395,1.222222222222222,1.222222222222222,17,155,3121,98,16949,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.875,0.04419417382415922,2.0,1.0,1.0,2.0,1.5,2.0
KAMMERJUNGFER,0.0,6,0.5806451612903226,0.5806451612903226,6,0.05370091969045749,1.722222222222222,1.722222222222222,2,4,58,3,278,11.0,11.0,11.0,13.0,14.0,12.0,16.0,15.0,12.875,0.24492619150616435,14.0,13.0,12.0,15.0,13.5,15.0
AMTMANN,0.0,2,0.4864864864864865,0.4864864864864865,2,0.01230076733652668,2.0555555555555554,2.0555555555555554,1,6,115,3,698,16.0,16.0,11.0,17.0,19.0,16.0,14.0,14.0,15.375,0.2983399008322075,17.0,17.0,17.0,16.0,16.5,16.0
DER BAUER,0.0,2,0.4864864864864865,0.4864864864864865,3,0.023584803414796296,2.0555555555555554,2.0555555555555554,2,19,511,10,2588,16.0,16.0,11.0,15.0,16.0,12.0,10.0,9.0,13.125,0.368621345595411,15.0,19.0,16.0,10.0,13.0,13.0
HAUSVATER,0.27223778400248994,15,0.8571428571428571,0.8571428571428571,48,0.3982788105694149,1.1666666666666667,1.1666666666666667,20,244,5823,150,32489,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.5,0.11572751247156893,1.0,7.0,1.0,1.0,1.0,1.0
GRAF MONHEIM,0.01982570806100218,11,0.72,0.72,35,0.32762096257829254,1.3888888888888888,1.3888888888888888,10,64,1151,42,6107,5.0,5.0,7.0,5.0,5.0,6.0,6.0,7.0,5.75,0.11080065755348979,5.0,5.0,5.0,7.0,6.0,5.0
DROMER,0.08792405851229379,12,0.75,0.75,41,0.36141114188451584,1.3333333333333333,1.3333333333333333,13,74,826,62,4403,3.0,3.0,3.0,4.0,4.0,4.0,4.0,8.0,4.125,0.2052600702245116,4.0,10.0,4.0,5.0,4.5,4.0
FRITZ,0.0,3,0.5,0.5,3,0.035233040009168846,2.0,2.0,1,1,8,1,48,15.0,15.0,11.0,15.0,15.0,16.0,17.0,18.0,15.25,0.25660906898571273,16.0,14.0,15.0,18.0,16.5,16.0
