name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.052083333333333336,13,0.8421052631578947,0.8421052631578947,20,0.10233231147322597,1.1875,1.1875,4,7,148,28,717,4.0,4.0,5.0,10.0,10.0,10.0,12.0,10.0,8.125,0.40332048139697263,8.0,17.0,7.0,10.0,8.5,8.0
DAPHNE,0.0,8,0.6666666666666666,0.6666666666666666,8,0.027467601121460135,1.5,1.5,1,9,114,18,582,10.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,10.625,0.09300297614285562,11.0,4.0,11.0,11.0,11.0,11.0
DARDOS,0.0,8,0.6666666666666666,0.6666666666666666,8,0.027467601121460135,1.5,1.5,1,2,6,2,42,10.0,10.0,10.0,11.0,11.0,11.0,14.0,17.0,11.75,0.31160586368955623,15.0,14.0,11.0,16.0,13.5,15.0
JOHANN,0.0010416666666666667,9,0.6956521739130435,0.6956521739130435,46,0.29401451345217566,1.4375,1.4375,13,63,835,60,4596,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.75,0.057863756235784464,7.0,1.0,7.0,7.0,7.0,7.0
JAKOB,0.0,2,0.5333333333333333,0.5333333333333333,2,0.01518333630838768,1.875,1.875,1,1,7,1,57,17.0,17.0,10.0,17.0,17.0,11.0,16.0,16.0,15.125,0.3625153937618177,17.0,16.0,17.0,17.0,17.0,17.0
TOMASO,0.0010416666666666667,9,0.6956521739130435,0.6956521739130435,22,0.14561534492910136,1.4375,1.4375,6,22,825,23,4781,7.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,8.125,0.12387890112063936,8.0,5.0,9.0,9.0,9.0,9.0
FRÄNZL,0.0,8,0.6666666666666666,0.6666666666666666,24,0.15375965107916484,1.5,1.5,8,40,593,58,3225,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,8.875,0.12387890112063936,10.0,5.0,10.0,8.0,9.0,9.0
PETER,0.0,3,0.5517241379310345,0.5517241379310345,3,0.019558439650899283,1.8125,1.8125,1,1,12,1,59,16.0,16.0,10.0,16.0,16.0,11.0,16.0,14.0,14.375,0.3129461101486051,16.0,15.0,16.0,15.0,15.5,16.0
FRAU VON HABICHT,0.0670138888888889,14,0.8888888888888888,0.8888888888888888,73,0.42922682373268883,1.125,1.125,20,147,2689,168,14838,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.875,0.12387890112063936,1.0,5.0,2.0,2.0,2.0,1.0
HERR VON WOLF,0.05798611111111111,11,0.7619047619047619,0.7619047619047619,59,0.3845068822637273,1.3125,1.3125,21,103,1667,100,9411,5.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,0.1336306209562122,4.0,10.0,4.0,3.0,3.5,4.0
HERR VON BÄR,0.20729166666666668,16,1.0,1.0,70,0.41070857083039364,1.0,1.0,21,105,1375,105,7854,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,0.1336306209562122,2.0,10.0,1.0,3.0,2.0,1.0
VOLPINO,0.0670138888888889,14,0.8888888888888888,0.8888888888888888,64,0.38645375763585976,1.125,1.125,25,142,3358,129,18886,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.125,0.12387890112063936,3.0,5.0,3.0,1.0,2.0,1.0
GANYMEDES,0.0,8,0.6666666666666666,0.6666666666666666,8,0.027467601121460135,1.5,1.5,1,7,137,16,712,10.0,10.0,10.0,11.0,11.0,11.0,12.0,11.0,10.75,0.08838834764831845,12.0,3.0,11.0,12.0,11.5,12.0
FRÄULE,0.0010416666666666667,9,0.6956521739130435,0.6956521739130435,58,0.38889136212362785,1.4375,1.4375,17,85,1300,87,7149,7.0,7.0,7.0,5.0,3.0,5.0,5.0,5.0,5.5,0.1767766952966369,5.0,12.0,5.0,5.0,5.0,5.0
CHLOE,0.0,8,0.6666666666666666,0.6666666666666666,8,0.027467601121460135,1.5,1.5,1,9,111,21,570,10.0,10.0,10.0,11.0,11.0,11.0,10.0,13.0,10.75,0.12938729237669142,12.0,9.0,11.0,12.0,11.5,12.0
TIRUS,0.0,8,0.6666666666666666,0.6666666666666666,8,0.027467601121460135,1.5,1.5,1,2,10,2,58,10.0,10.0,10.0,11.0,11.0,11.0,14.0,15.0,11.5,0.24090602791485788,14.0,13.0,11.0,14.0,12.5,14.0
LISEL,0.020486111111111108,10,0.7272727272727273,0.7272727272727273,37,0.22914309047129028,1.375,1.375,15,85,1278,104,6986,6.0,6.0,6.0,7.0,7.0,6.0,5.0,6.0,6.125,0.08010874305770696,6.0,2.0,6.0,6.0,6.0,6.0
