,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,7,18,7,7,10,16,17,6.75,0.563,0.011781000000000002,12.350000000000001,0.027520000000000003,2.386,17.137,322.4045
9,6,6,3,5,5,8,3,4,10.55,0.643,0.059500000000000004,5.4155,0.07325000000000001,5.199999999999999,49.900000000000006,1583.75
8,4,4,2,4,4,3,3,2,2.9405,0.483,0.0357,26.15,0.119,10.8,115.1,954.6500000000001
7,4,2,1,3,3,2,2,1,18.15,0.722,0.08330000000000001,19.25,0.16449999999999998,19.200000000000003,147.7,2212.85
6,2,2,1,2,2,1,1,1,16.25,0.762,0.1071,39.95,0.2555,13.6,82.5,3471.05
5,1,2,1,2,2,1,1,1,4.85,0.802,0.22599999999999998,60.65,0.4375,24.799999999999997,310.7,5987.45
4,1,1,0,1,1,1,0,0,8.65,0.523,0.131,46.849999999999994,0.21000000000000002,27.6,180.3,2841.95
3,1,1,0,1,1,0,0,0,12.45,0.6825,0.155,53.75,0.34650000000000003,8.0,212.89999999999998,4100.15
2,1,1,0,1,1,0,0,0,20.05,0.842,0.1785,67.55,0.392,16.4,245.5,4729.25
1,0,0,0,0,0,0,0,0,14.350000000000001,0.603,0.202,33.05,0.30100000000000005,22.0,278.1,5358.35
