,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,9,18,10,10,15,18,18,1.8415000000000001,0.527,0.007821000000000002,3.5244999999999997,0.02277,1.7425,9.702,274.03200000000004
9,5,5,2,5,6,3,2,3,8.65,0.4585,0.02365,8.649999999999999,0.069,3.25,127.39999999999999,3598.3999999999996
8,4,3,1,3,3,2,1,1,6.949999999999999,0.11735,0.039400000000000004,13.75,0.391,12.25,68.6,1384.0
7,3,3,1,3,2,2,1,1,3.5500000000000003,0.7315,0.07095,39.25,0.161,13.75,107.8,1937.6
6,3,2,1,2,2,1,1,1,17.15,0.595,0.118,44.349999999999994,0.345,6.25,147.0,4705.6
5,2,1,1,1,1,1,1,1,10.35,0.32199999999999995,0.134,18.85,0.20700000000000002,9.25,166.60000000000002,5259.2
4,1,1,1,1,1,1,1,0,5.25,0.39,0.15,49.45,0.437,15.25,186.2,830.4000000000001
3,1,1,0,0,0,0,0,0,15.45,0.663,0.0552,23.95,0.115,4.75,29.400000000000002,2491.2
2,0,0,0,0,0,0,0,0,12.05,0.186,0.0867,29.05,0.253,7.75,49.0,3044.8
1,0,0,0,0,0,0,0,0,13.75,0.254,0.1023,34.150000000000006,0.29900000000000004,10.75,88.2,4152.0
