name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SORGE,0.0,4,0.35371797778281566,0.3940149625935162,4,0.0013224415382563335,2.8271110398974524,2.537974683544304,1,9,266,49,1472,158.0,133.0,32.0,158.0,144.0,34.0,23.0,31.0,89.125,7.972731848306451,126.0,172.0,166.0,30.0,98.0,104.0
PATER SERAPHICUS,0.0,14,0.07954545454545454,1.0,14,8.874887900687346e-25,12.571428571428571,1.0,1,3,142,28,814,92.0,160.0,32.0,96.0,160.0,34.0,47.0,53.0,84.25,6.562457482855467,112.0,147.0,133.0,47.0,90.0,92.0
GÄRTNER,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,98,20,591,6.0,83.0,32.0,7.0,4.0,34.0,88.0,65.0,39.875,4.334989238329038,26.0,50.0,9.0,84.0,46.5,28.0
PHANTASIEKRANZ,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,21,4,120,6.0,83.0,32.0,7.0,4.0,34.0,88.0,141.0,49.375,6.212723659382988,56.0,122.0,9.0,146.0,77.5,72.0
DER GEISTLICHE,0.0,13,0.32607105538140024,0.3632183908045977,13,0.0014534070332903742,3.0668162153501037,2.7531645569620253,1,1,24,3,147,108.0,139.0,32.0,111.0,133.0,34.0,88.0,132.0,97.125,5.3612521441890255,147.0,83.0,122.0,141.0,131.5,155.0
SPHINXE,0.0015605029890744177,22,0.414739500265816,0.4619883040935672,27,0.0072086613503624655,2.41115205896491,2.1645569620253164,2,16,613,104,3513,52.0,36.0,17.0,52.0,80.0,14.0,12.0,11.0,34.25,3.1585696921233195,16.0,14.0,69.0,10.0,39.5,18.0
LYNKEUS DER TÜRMER,0.0,6,0.3973134708428826,0.4425770308123249,12,0.00812644369226006,2.516904342252844,2.259493670886076,2,3,324,62,1744,151.0,64.0,32.0,122.0,76.0,14.0,47.0,25.0,66.375,6.044085620020852,91.0,109.0,105.0,29.0,67.0,61.0
DIE KRANICHE DES IBYKUS,0.0,20,0.4006805341551104,0.4463276836158192,20,0.0038352659037177773,2.4957538855952572,2.240506329113924,1,1,73,16,460,73.0,51.0,32.0,78.0,99.0,34.0,88.0,85.0,67.5,3.1742546931748965,92.0,15.0,81.0,97.0,89.0,91.0
KÄMMERER,0.006184174771837108,32,0.48245207173778604,0.5374149659863946,39,0.023369958589902047,2.0727447524435187,1.860759493670886,3,7,76,10,445,45.0,6.0,12.0,7.0,43.0,8.0,29.0,81.0,28.875,3.30680946522259,13.0,23.0,7.0,43.0,25.0,9.0
ANDRER,0.0,22,0.4502886002886003,0.5015873015873016,22,0.014805373939051833,2.220797949046627,1.9936708860759493,1,1,19,2,86,52.0,14.0,32.0,60.0,52.0,34.0,88.0,147.0,59.875,5.187742033940613,77.0,74.0,51.0,151.0,101.0,109.0
LACHESIS,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,68,12,348,6.0,83.0,32.0,7.0,4.0,34.0,88.0,93.0,43.375,4.84396600900838,41.0,65.0,9.0,105.0,57.0,43.0
THALES,0.02008658008658008,30,0.4123282241014799,0.45930232558139533,32,0.0044040083596404355,2.4252523634033007,2.1772151898734178,2,25,807,122,4467,48.0,41.0,11.0,49.0,96.0,14.0,7.0,8.0,34.25,3.8520344810057376,16.0,38.0,72.0,9.0,40.5,20.0
AGLAIA,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,10,2,53,6.0,83.0,32.0,7.0,4.0,34.0,88.0,159.0,51.625,6.825941032717969,62.0,154.0,9.0,159.0,84.0,81.0
PARASITEN,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,89,26,487,6.0,83.0,32.0,7.0,4.0,34.0,88.0,70.0,40.5,4.404745817216439,31.0,54.0,9.0,88.0,48.5,31.0
KLOTHO,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,80,16,465,6.0,83.0,32.0,7.0,4.0,34.0,88.0,79.0,41.625,4.554696114608369,34.0,58.0,9.0,94.0,51.5,36.0
BRAUNE,0.0,6,0.3752405002405002,0.41798941798941797,6,0.00358372773799637,2.664957538855953,2.3924050632911396,1,3,46,7,271,151.0,126.0,32.0,155.0,112.0,34.0,47.0,107.0,95.5,6.360101638900345,145.0,138.0,161.0,85.0,123.0,147.0
JUNGE DAME,0.0,22,0.4502886002886003,0.5015873015873016,22,0.014805373939051833,2.220797949046627,1.9936708860759493,1,2,23,3,129,52.0,14.0,32.0,60.0,52.0,34.0,63.0,136.0,55.375,4.560573223291125,69.0,59.0,51.0,121.0,86.0,85.0
ERSTER TRABANT,0.0,13,0.32607105538140024,0.3632183908045977,13,0.0014534070332903742,3.0668162153501037,2.7531645569620253,1,2,22,4,142,108.0,139.0,32.0,111.0,133.0,34.0,63.0,137.0,94.625,5.646165536703395,142.0,92.0,122.0,124.0,123.0,147.0
ROSENKNOSPEN,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,74,14,422,6.0,83.0,32.0,7.0,4.0,34.0,88.0,84.0,42.25,4.650628797731089,36.0,61.0,9.0,96.0,52.5,39.0
CHORETIDE 5,0.0,10,0.3792537676227516,0.42245989304812837,10,0.0024338461990163736,2.6367569299791698,2.3670886075949364,1,1,8,1,43,135.0,83.0,32.0,137.0,121.0,34.0,88.0,163.0,99.125,6.0523893968179445,154.0,110.0,109.0,163.0,136.0,160.0
ZWEITER TRABANT,0.0,13,0.32607105538140024,0.3632183908045977,13,0.0014534070332903742,3.0668162153501037,2.7531645569620253,1,2,22,4,132,108.0,139.0,32.0,111.0,133.0,34.0,63.0,137.0,94.625,5.646165536703395,142.0,92.0,122.0,124.0,123.0,147.0
PSYLLEN UND MARSEN,0.0,12,0.2979851031321619,0.3319327731092437,12,0.0006785840935073491,3.355872456337126,3.0126582278481013,1,1,99,20,585,119.0,150.0,32.0,122.0,150.0,34.0,88.0,63.0,94.75,5.998046557005039,144.0,105.0,151.0,80.0,115.5,136.0
PULCINELLE,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,77,22,403,6.0,83.0,32.0,7.0,4.0,34.0,88.0,80.0,41.75,4.573189532481679,35.0,60.0,9.0,95.0,52.0,37.0
ERZTRUCHSESS,0.0,13,0.32607105538140024,0.3632183908045977,13,0.0014534070332903742,3.0668162153501037,2.7531645569620253,1,1,53,6,319,108.0,139.0,32.0,111.0,133.0,34.0,88.0,103.0,93.5,5.0863086530691115,137.0,69.0,122.0,113.0,117.5,139.0
CHOR (ANMUTIGE GEGEND),0.0,2,0.35196255357545675,0.3920595533498759,2,0.0012530170992007886,2.841211344335844,2.5506329113924053,1,1,171,32,951,172.0,137.0,32.0,172.0,148.0,34.0,88.0,42.0,103.125,7.683887798271691,165.0,169.0,173.0,64.0,118.5,141.0
ZWEITER GREIF,0.0015605029890744177,22,0.414739500265816,0.4619883040935672,27,0.0072086613503624655,2.41115205896491,2.1645569620253164,2,3,12,3,51,52.0,36.0,17.0,52.0,80.0,14.0,47.0,156.0,56.75,5.663459789361472,72.0,95.0,69.0,107.0,88.0,90.0
PROTEUS,0.0,12,0.2979851031321619,0.3319327731092437,12,0.0006785840935073491,3.355872456337126,3.0126582278481013,1,13,320,56,1774,119.0,150.0,32.0,122.0,150.0,34.0,14.0,27.0,81.0,7.419508551302919,105.0,166.0,151.0,22.0,86.5,87.0
ANAXAGORAS,0.0,20,0.4006805341551104,0.4463276836158192,20,0.0038352659037177773,2.4957538855952572,2.240506329113924,1,6,274,47,1646,73.0,51.0,32.0,78.0,99.0,34.0,32.0,29.0,53.5,3.3280464024924377,65.0,24.0,81.0,31.0,56.0,42.0
EUPHORION,0.0,7,0.3864874907109239,0.4305177111716621,7,0.0033756749396440604,2.5874058644448006,2.3227848101265822,1,17,458,102,2423,147.0,75.0,32.0,151.0,115.0,34.0,11.0,19.0,73.0,7.210173863566477,98.0,160.0,119.0,16.0,67.5,62.0
ALEKTO,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,103,12,521,6.0,83.0,32.0,7.0,4.0,34.0,88.0,62.0,39.5,4.298047729576102,25.0,48.0,9.0,78.0,43.5,26.0
WAGNER,0.0,2,0.38129276637341153,0.42473118279569894,2,0.0016112935544425793,2.622656625540779,2.3544303797468356,1,9,439,64,2391,172.0,82.0,32.0,172.0,129.0,34.0,23.0,22.0,83.25,8.221473951097298,110.0,174.0,163.0,27.0,95.0,100.0
GNOMEN,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,2,225,40,1236,6.0,83.0,32.0,7.0,4.0,34.0,63.0,36.0,33.125,3.553442433049957,15.0,31.0,9.0,46.0,27.5,10.0
TELCHINEN,0.0,12,0.2979851031321619,0.3319327731092437,12,0.0006785840935073491,3.355872456337126,3.0126582278481013,1,1,110,14,606,119.0,150.0,32.0,122.0,150.0,34.0,88.0,60.0,94.375,6.034845800787765,140.0,108.0,151.0,77.0,114.0,133.0
HOMUNCULUS,0.04063672438672439,33,0.42852238396045045,0.4773413897280967,37,0.00833385741113375,2.3336003845537574,2.0949367088607596,4,27,938,147,5199,44.0,33.0,6.0,48.0,73.0,4.0,6.0,7.0,27.625,3.23550165849793,12.0,18.0,50.0,6.0,28.0,12.0
CHOR UND ECHO,0.0,14,0.07954545454545454,1.0,14,8.874887900687346e-25,12.571428571428571,1.0,1,1,41,10,247,92.0,160.0,32.0,96.0,160.0,34.0,88.0,115.0,97.125,6.0803538651134446,147.0,116.0,133.0,127.0,130.0,154.0
ARIMASPEN,0.0,7,0.3973134708428826,0.4425770308123249,7,0.0035531833365498376,2.516904342252844,2.259493670886076,1,1,16,3,103,147.0,64.0,32.0,151.0,114.0,34.0,88.0,151.0,97.625,6.335464769003591,149.0,134.0,109.0,154.0,131.5,155.0
PHANTASIESTRAUSS,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,47,8,246,6.0,83.0,32.0,7.0,4.0,34.0,88.0,105.0,44.875,5.138456853889669,45.0,70.0,9.0,115.0,62.0,51.0
ZWEITE DAME,0.0,22,0.4502886002886003,0.5015873015873016,22,0.014805373939051833,2.220797949046627,1.9936708860759493,1,3,24,3,125,52.0,14.0,32.0,60.0,52.0,34.0,47.0,132.0,52.875,4.394313238639881,64.0,53.0,51.0,103.0,77.0,71.0
MANGEL,0.0,4,0.35371797778281566,0.3940149625935162,4,0.0013224415382563335,2.8271110398974524,2.537974683544304,1,3,16,3,94,158.0,133.0,32.0,158.0,144.0,34.0,47.0,151.0,107.125,7.279017514894634,172.0,164.0,166.0,119.0,142.5,168.0
OLIVENZWEIG MIT FRÜCHTEN,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,42,8,245,6.0,83.0,32.0,7.0,4.0,34.0,88.0,113.0,45.875,5.355003292982848,48.0,82.0,9.0,126.0,67.5,62.0
LEMUR,0.0005021645021645021,6,0.3854372529644269,0.42934782608695654,8,0.004400280614239302,2.594456016663996,2.329113924050633,2,4,50,8,262,151.0,78.0,28.0,149.0,97.0,14.0,43.0,104.0,83.0,6.517147710901932,109.0,144.0,107.0,62.0,84.5,83.0
OBERGENERAL,0.0,10,0.40181560648982745,0.4475920679886686,10,0.004883199563274091,2.4887037333760618,2.2341772151898733,1,10,324,46,1878,135.0,47.0,32.0,137.0,92.0,34.0,18.0,25.0,65.0,6.15934249737746,89.0,119.0,101.0,23.0,62.0,51.0
CHORETIDE 1,0.0,10,0.3792537676227516,0.42245989304812837,10,0.0024338461990163736,2.6367569299791698,2.3670886075949364,1,1,8,1,47,135.0,83.0,32.0,137.0,121.0,34.0,88.0,163.0,99.125,6.0523893968179445,154.0,110.0,109.0,163.0,136.0,160.0
SATYR,0.0,39,0.3792537676227516,0.42245989304812837,39,0.15655247011286308,2.6367569299791698,2.3670886075949364,1,1,66,11,358,6.0,83.0,32.0,7.0,4.0,34.0,88.0,94.0,43.5,4.866980583482946,42.0,66.0,9.0,106.0,57.5,46.0
