,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,59,95,170,83,129,145,171,172,13.5,0.40800000000000003,0.016978499999999997,6.93,0.0082665,0.9405,11.88,536.8275
9,38,27,3,45,40,26,3,3,40.5,0.47050000000000003,0.0514,21.0,0.1585,2.8499999999999996,36.0,2711.25
8,36,24,1,44,7,5,2,1,22.5,0.34550000000000003,0.08574999999999999,35.0,0.02505,4.75,60.0,1626.75
7,34,15,1,3,1,1,1,1,4.455,0.0944,0.12,49.0,0.041800000000000004,14.25,132.0,5964.75
6,7,10,1,1,1,1,1,1,31.5,0.2825,0.15400000000000003,63.0,0.058550000000000005,18.05,228.0,10302.75
5,1,4,1,1,0,0,0,0,49.5,0.031086,0.1885,91.0,0.07525,6.65,84.0,3795.75
4,1,2,1,1,0,0,0,0,58.5,0.5965,0.3255,133.0,0.09179999999999999,8.55,108.0,4880.25
3,1,1,0,0,0,0,0,0,67.5,0.5335,0.22299999999999998,77.0,0.10850000000000001,10.45,156.0,7049.25
2,1,0,0,0,0,0,0,0,85.5,0.157,0.257,105.0,0.1255,12.350000000000001,180.0,8133.75
1,0,0,0,0,0,0,0,0,76.5,0.2195,0.29100000000000004,119.0,0.14200000000000002,16.15,204.0,9218.25
