,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,4,2,2,2,2,2,3.9499999999999997,0.831,0.007424999999999999,3.7424999999999997,0.126,8.6,16.415,233.2845
9,2,2,2,2,2,1,2,1,4.85,0.981,0.14250000000000002,17.25,0.5345,1.396,169.5,740.75
8,1,1,0,1,1,1,1,1,2.1485,0.6435,0.0225,11.25,0.39849999999999997,2.2,67.5,993.85
7,0,0,0,1,1,1,1,1,2.45,0.681,0.0375,14.25,0.489,4.6,84.5,1500.05
6,0,0,0,0,0,1,0,1,2.75,0.719,0.0525,5.25,0.172,6.199999999999999,33.5,2512.45
5,0,0,0,0,0,0,0,0,3.05,0.7565,0.0675,6.75,0.2175,3.0,50.5,487.65000000000003
4,0,0,0,0,0,0,0,0,3.35,0.7935000000000001,0.08249999999999999,8.25,0.26249999999999996,3.8,101.5,1246.95
3,0,0,0,0,0,0,0,0,3.65,0.869,0.0975,9.75,0.308,5.4,118.5,1753.15
2,0,0,0,0,0,0,0,0,4.25,0.9065000000000001,0.11249999999999999,12.75,0.35350000000000004,7.0,135.5,2006.25
1,0,0,0,0,0,0,0,0,4.550000000000001,0.9435,0.1275,15.75,0.4435,7.8,152.5,2259.3500000000004
