,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,14,20,40,28,27,39,42,42,1.782,0.5095000000000001,0.0113355,5.3955,0.025591500000000003,2.5345,22.423499999999997,396.79200000000003
9,11,15,5,11,9,4,5,4,9.0,0.431,0.0344,16.35,0.07735,5.65,67.94999999999999,1202.4
8,9,7,2,3,5,2,1,2,5.4,0.5880000000000001,0.1265,27.25,0.129,8.75,158.55,3607.2
7,8,3,1,3,3,2,1,1,12.600000000000001,0.6659999999999999,0.05735,38.150000000000006,0.181,11.850000000000001,339.75,2004.0
6,3,2,1,2,2,2,1,1,19.8,0.35250000000000004,0.172,49.05,0.33599999999999997,18.05,430.35,7615.2
5,2,2,1,1,1,1,0,0,23.4,0.7444999999999999,0.2175,59.95,0.23299999999999998,30.45,113.25,2805.6000000000004
4,1,1,0,1,1,0,0,0,27.0,0.038807999999999995,0.08025,70.85,0.2845,14.95,203.85,4408.8
3,1,0,0,1,1,0,0,0,30.6,0.1177,0.10335,103.55,0.388,21.15,249.15,5210.4
2,1,0,0,0,1,0,0,0,34.2,0.196,0.14950000000000002,81.75,0.491,24.25,294.45000000000005,6012.0
1,0,0,0,0,0,0,0,0,16.2,0.274,0.1945,92.65,0.4395,27.35,385.04999999999995,6813.6
