name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
LEPORELLO,0.04466230936819172,15,0.8571428571428571,0.8571428571428571,36,0.3889280067467897,1.1666666666666667,1.1666666666666667,7,159,3174,456,16533,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.875,0.08010874305770696,3.0,3.0,2.0,3.0,2.5,3.0
DER RITTER,0.0,13,0.782608695652174,0.782608695652174,31,0.34447699080002486,1.2777777777777777,1.2777777777777777,6,82,2473,381,13148,7.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,5.25,0.18600595228571123,5.0,8.0,6.0,4.0,5.0,5.0
ZWEITER HERR,0.0,13,0.782608695652174,0.782608695652174,13,0.1286309848528979,1.2777777777777777,1.2777777777777777,1,1,6,2,29,7.0,7.0,7.0,11.0,11.0,11.0,17.0,18.0,11.125,0.5446062634076633,13.0,18.0,11.0,18.0,14.5,15.0
DER DIENER,0.0,13,0.782608695652174,0.782608695652174,13,0.1286309848528979,1.2777777777777777,1.2777777777777777,1,2,22,4,125,7.0,7.0,7.0,11.0,11.0,11.0,16.0,16.0,10.75,0.4665125170576118,12.0,16.0,11.0,17.0,14.0,14.0
ERSTER HERR,0.0,13,0.782608695652174,0.782608695652174,13,0.1286309848528979,1.2777777777777777,1.2777777777777777,1,1,6,2,41,7.0,7.0,7.0,11.0,11.0,11.0,17.0,18.0,11.125,0.5446062634076633,13.0,18.0,11.0,18.0,14.5,15.0
GASPARO,0.021241830065359478,14,0.8181818181818182,0.8181818181818182,17,0.17223003906258982,1.222222222222222,1.222222222222222,2,6,69,11,328,5.0,5.0,5.0,10.0,10.0,8.0,12.0,12.0,8.375,0.3834610941337931,10.0,12.0,7.0,11.0,9.0,10.0
DIE GNOMEN,0.0,3,0.5142857142857142,0.5142857142857142,3,0.015514027521067938,1.9444444444444446,1.9444444444444446,1,1,32,4,149,17.0,15.0,7.0,17.0,17.0,11.0,17.0,14.0,14.375,0.4577580263788782,19.0,14.0,17.0,16.0,16.5,19.0
LISETTE,0.0,4,0.5142857142857142,0.5142857142857142,4,0.05404017070068656,1.9444444444444446,1.9444444444444446,1,9,151,15,720,15.0,15.0,7.0,15.0,15.0,11.0,11.0,11.0,12.5,0.37201190457142247,15.0,11.0,15.0,12.0,13.5,12.0
DER GOUVERNEUR,0.04466230936819172,15,0.8571428571428571,0.8571428571428571,32,0.34371237315494874,1.1666666666666667,1.1666666666666667,6,59,1214,189,6478,2.0,2.0,2.0,4.0,5.0,4.0,6.0,6.0,3.875,0.2158610250667247,4.0,9.0,4.0,5.0,4.5,4.0
DIE ANWESENDEN,0.0,13,0.782608695652174,0.782608695652174,13,0.1286309848528979,1.2777777777777777,1.2777777777777777,1,4,44,7,254,7.0,7.0,7.0,11.0,11.0,11.0,13.0,13.0,10.0,0.32732683535398854,11.0,10.0,11.0,13.0,12.0,11.0
DON OCTAVIO,0.021241830065359478,14,0.8181818181818182,0.8181818181818182,25,0.2765376533183338,1.222222222222222,1.222222222222222,4,31,416,70,2136,5.0,5.0,5.0,6.0,6.0,6.0,7.0,9.0,6.125,0.1695253352325672,6.0,7.0,5.0,7.0,6.0,6.0
SIGNOR RUBIO,0.0,13,0.782608695652174,0.782608695652174,19,0.20458372150380508,1.2777777777777777,1.2777777777777777,2,22,419,44,2166,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.625,0.06469364618834571,8.0,1.0,9.0,8.0,8.5,8.0
ZWEITER GNOM,0.0,3,0.5142857142857142,0.5142857142857142,3,0.015514027521067938,1.9444444444444446,1.9444444444444446,1,4,20,6,128,17.0,15.0,7.0,17.0,17.0,11.0,13.0,17.0,14.25,0.4617029812088534,18.0,15.0,17.0,14.0,15.5,18.0
DONNA ANNA,0.0,13,0.782608695652174,0.782608695652174,22,0.24767311088540742,1.2777777777777777,1.2777777777777777,4,71,1241,202,6322,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.375,0.11451567266411304,7.0,5.0,7.0,5.0,6.0,6.0
DON JUAN,0.04466230936819172,15,0.8571428571428571,0.8571428571428571,36,0.3889280067467897,1.1666666666666667,1.1666666666666667,7,244,6477,983,34403,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.625,0.06469364618834571,2.0,1.0,2.0,1.0,1.5,2.0
SIGNOR NEGRO,0.0,13,0.782608695652174,0.782608695652174,19,0.20458372150380508,1.2777777777777777,1.2777777777777777,2,19,465,48,2476,7.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,7.625,0.09300297614285562,8.0,4.0,9.0,8.0,8.5,8.0
DER PRIESTER,0.0,4,0.5142857142857142,0.5142857142857142,4,0.05000843097125659,1.9444444444444446,1.9444444444444446,1,3,31,5,164,15.0,15.0,7.0,15.0,16.0,11.0,15.0,15.0,13.625,0.3834610941337931,17.0,12.0,16.0,14.0,15.0,17.0
ERSTER GNOM,0.0,3,0.5142857142857142,0.5142857142857142,3,0.015514027521067938,1.9444444444444446,1.9444444444444446,1,14,190,34,1006,17.0,15.0,7.0,17.0,17.0,11.0,10.0,10.0,13.0,0.49551560448255744,16.0,17.0,17.0,10.0,13.5,12.0
FAUST,0.29411764705882354,16,0.9,0.9,36,0.3703420458692005,1.1111111111111112,1.1111111111111112,8,140,6608,952,34997,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.5,0.11572751247156893,1.0,6.0,1.0,1.0,1.0,1.0
