,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,10,19,10,11,16,25,23,25.0,0.7965,0.0010692,24.549999999999997,0.0953,1.198,25.2055,365.0925
9,10,10,8,7,6,7,4,5,33.0,0.9815,0.02055,18.8215,0.07205,2.8,74.35,1100.25
8,7,7,5,4,6,5,3,3,14.99,0.648,0.00324,47.35,0.20950000000000002,2.0,123.25,1831.75
7,7,7,2,3,4,4,1,2,27.0,0.8334999999999999,0.0184,41.65,0.16349999999999998,4.0,172.14999999999998,3294.75
6,1,1,1,3,3,3,1,1,23.0,0.7595000000000001,0.00757,64.45,0.27849999999999997,4.8,269.95,2563.25
5,0,0,0,3,2,0,1,1,17.0,0.6855,0.005405,70.15,0.23249999999999998,1.6,465.55,6952.25
4,0,0,0,2,2,0,0,0,19.0,0.7224999999999999,0.009725000000000001,53.05,0.2555,2.4000000000000004,221.05,4026.25
3,0,0,0,1,1,0,0,0,21.0,0.8705,0.0119,30.25,0.118,3.2,318.85,4757.75
2,0,0,0,1,0,0,0,0,29.0,0.9075,0.01405,35.95,0.1405,3.5999999999999996,367.75,5489.25
1,0,0,0,1,0,0,0,0,31.0,0.9445,0.0162,58.75,0.1865,4.4,416.65,6220.75
