,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,10,2,2,4,3,2,8.649999999999999,0.929,0.010593,16.4,0.16349999999999998,6.4,52.05,403.40000000000003
9,3,3,1,2,2,2,3,2,6.85,0.787,0.203,29.6,0.2485,8.8,80.65,902.6
8,2,2,0,2,2,2,2,2,7.75,0.8345,0.0321,34.0,0.3345,12.4,37.75,1901.0
7,1,1,0,2,2,1,1,1,1.4455,0.55,0.05345,42.8,0.4195,1.594,9.0785,152.55200000000002
6,1,1,0,1,1,1,1,1,9.55,0.9764999999999999,0.0748,3.178,0.0349,7.6,94.94999999999999,1152.2
5,0,0,0,1,1,1,1,1,2.3499999999999996,0.5974999999999999,0.09625,20.8,0.2915,11.2,137.85,1401.8
4,0,0,0,1,1,0,0,1,3.25,0.6445000000000001,0.1175,25.2,0.377,2.8,23.450000000000003,2150.6
3,0,0,0,0,0,0,0,1,4.15,0.692,0.139,7.6000000000000005,0.07785,4.0,66.35,2400.2
2,0,0,0,0,0,0,0,0,5.05,0.7395,0.1605,12.0,0.12059999999999998,5.199999999999999,109.25,653.0
1,0,0,0,0,0,0,0,0,5.95,0.8815,0.1815,38.400000000000006,0.20600000000000002,10.0,123.55,1651.4
