name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
FRAU KNIPS,0.01944444444444444,5,0.47368421052631576,0.631578947368421,16,0.4814791756363062,2.111111111111111,1.5833333333333335,10,30,1086,148,5797,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,0.1336306209562122,3.0,4.0,3.0,2.0,2.5,2.0
DER KNABE,0.0,3,0.42857142857142855,0.5714285714285714,3,0.10733579495032196,2.3333333333333335,1.75,1,1,16,2,79,9.0,5.0,5.0,10.0,8.0,8.0,13.0,17.0,9.375,0.504167896495942,10.0,16.0,9.0,17.0,13.0,14.0
DER SKLAV,0.0,2,0.3214285714285714,0.42857142857142855,2,0.05312799359139663,3.1111111111111116,2.3333333333333335,1,1,73,8,367,10.0,13.0,5.0,11.0,12.0,8.0,13.0,15.0,10.875,0.397747564417433,13.0,11.0,12.0,15.0,13.5,16.0
DER ZWEITE TÜRKE,0.0,1,0.0625,1.0,1,3.3604406549384554e-24,16.0,1.0,1,1,125,17,809,13.0,14.0,5.0,13.0,14.0,8.0,13.0,13.0,11.625,0.4115383813032683,17.0,13.0,14.0,14.0,14.0,17.0
DER ERSTE TÜRKE,0.0,1,0.0625,1.0,1,3.3604406549384554e-24,16.0,1.0,1,2,217,29,1181,13.0,14.0,5.0,13.0,14.0,8.0,12.0,9.0,11.0,0.411877235523957,15.0,14.0,14.0,11.0,12.5,13.0
DER MATROSE,0.0,2,0.40909090909090906,0.5454545454545454,2,0.07335509839218599,2.4444444444444446,1.8333333333333335,1,1,133,19,704,10.0,10.0,5.0,11.0,9.0,8.0,13.0,12.0,9.75,0.31160586368955623,11.0,9.0,11.0,13.0,12.0,11.0
DER SCHWARZROK,0.0,4,0.42857142857142855,0.5714285714285714,4,0.072519619591908,2.3333333333333335,1.75,1,5,310,49,1705,4.0,5.0,5.0,8.0,10.0,8.0,8.0,7.0,6.875,0.2538762001448738,7.0,7.0,7.0,8.0,7.5,7.0
DIE DAME,0.0,4,0.42857142857142855,0.5714285714285714,9,0.20858505610521594,2.3333333333333335,1.75,4,20,2405,330,12535,4.0,5.0,5.0,4.0,5.0,6.0,4.0,2.0,4.375,0.1484668673956776,5.0,5.0,5.0,4.0,4.5,5.0
EIN ALT MÜTTERCHEN,0.0,4,0.42857142857142855,0.5714285714285714,8,0.17532066363541635,2.3333333333333335,1.75,3,10,231,32,1194,4.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,6.125,0.1695253352325672,6.0,6.0,6.0,7.0,6.5,6.0
DAS MÄDEL,0.06527777777777777,6,0.5,0.6666666666666666,17,0.46826168416979,2.0,1.5,9,21,1263,168,7023,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.625,0.09300297614285562,2.0,3.0,2.0,3.0,2.5,2.0
DER SULTAN,0.03333333333333333,4,0.44999999999999996,0.6,9,0.28451699404298264,2.2222222222222223,1.6666666666666667,6,19,1826,236,10252,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.875,0.08010874305770696,4.0,2.0,4.0,4.0,4.0,4.0
DER ARZT,0.0,1,0.375,0.5,1,0.0403071829832664,2.6666666666666665,2.0,1,5,175,25,1005,13.0,12.0,5.0,13.0,13.0,8.0,8.0,11.0,10.375,0.3775951866748304,12.0,10.0,13.0,9.0,11.0,9.0
DER SOUFLEUR,0.0,4,0.42857142857142855,0.5714285714285714,4,0.072519619591908,2.3333333333333335,1.75,1,1,33,5,183,4.0,5.0,5.0,8.0,10.0,8.0,13.0,16.0,8.625,0.5258390404188067,9.0,17.0,7.0,16.0,11.5,10.0
HANSWURST,0.3652777777777778,11,0.6923076923076923,0.9230769230769231,28,0.5711126558253964,1.4444444444444444,1.0833333333333333,19,59,5202,712,28362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
STOFFEL KNIPS,0.0,2,0.3913043478260869,0.5217391304347826,5,0.18888294206607117,2.555555555555556,1.9166666666666667,5,15,620,88,3259,10.0,11.0,5.0,7.0,6.0,5.0,6.0,6.0,7.0,0.2834733547569204,8.0,8.0,10.0,6.0,8.0,8.0
ZWEITER MATROSE,0.0,1,0.0625,1.0,1,3.3604406549384554e-24,16.0,1.0,1,3,109,16,573,13.0,14.0,5.0,13.0,14.0,8.0,10.0,14.0,11.375,0.4222468599223513,16.0,15.0,14.0,12.0,13.0,14.0
ERSTER MATROSE,0.0,1,0.0625,1.0,1,3.3604406549384554e-24,16.0,1.0,1,3,189,33,995,13.0,14.0,5.0,13.0,14.0,8.0,10.0,10.0,10.875,0.40332048139697263,13.0,12.0,14.0,10.0,12.0,11.0
