name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ERSTER AELTESTER,0.011198945981554678,23,0.96,0.96,65,0.1678108547960954,1.0416666666666667,1.0416666666666667,7,34,121,34,680,2.0,2.0,3.0,9.0,9.0,10.0,12.0,18.0,8.125,0.6989708633821176,9.0,22.0,9.0,13.0,11.0,9.0
ACHTER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,25,0.05032528391839128,1.2083333333333333,1.2083333333333333,2,15,141,22,561,13.0,13.0,14.0,18.0,19.0,14.0,19.0,15.0,15.625,0.3269003506968359,19.0,13.0,18.0,18.0,18.0,20.0
SCHEIK,0.07279314888010541,24,1.0,1.0,151,0.4150044793908517,1.0,1.0,37,506,11216,1556,56716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SCHĒFAKĀ,0.011198945981554678,23,0.96,0.96,127,0.3628990133395813,1.0416666666666667,1.0416666666666667,24,115,1618,245,8004,2.0,2.0,3.0,3.0,3.0,2.0,7.0,7.0,3.625,0.2667387365408867,3.0,8.0,3.0,7.0,5.0,6.0
VORBETER,0.018115942028985508,12,0.6666666666666666,0.6666666666666666,31,0.10626071077993518,1.5,1.5,10,35,345,56,1670,24.0,24.0,2.0,13.0,12.0,9.0,11.0,10.0,13.125,0.9364577539857311,14.0,25.0,17.0,9.0,13.0,13.0
SIEBENTER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,25,0.05032528391839128,1.2083333333333333,1.2083333333333333,2,15,127,21,527,13.0,13.0,14.0,18.0,19.0,14.0,19.0,17.0,15.875,0.3302968091623913,20.0,14.0,18.0,19.0,18.5,21.0
BABEL,0.011198945981554678,23,0.96,0.96,134,0.38251042500279486,1.0416666666666667,1.0416666666666667,24,130,1722,272,9133,2.0,2.0,3.0,2.0,2.0,2.0,5.0,6.0,3.0,0.2004459314343183,2.0,7.0,2.0,4.0,3.0,2.0
PHANTASIE,0.011198945981554678,23,0.96,0.96,96,0.2783023881719403,1.0416666666666667,1.0416666666666667,18,116,1848,277,9382,2.0,2.0,3.0,7.0,8.0,4.0,6.0,5.0,4.625,0.2829807855667943,7.0,10.0,7.0,6.0,6.5,7.0
DIE AELTESTEN DER ĀN'ALLĀH,0.0,14,0.7058823529411765,0.7058823529411765,14,0.0349297569778626,1.4166666666666665,1.4166666666666665,1,0,0,0,0,21.0,21.0,14.0,23.0,23.0,23.0,25.0,25.0,21.875,0.4403605462734891,24.0,18.0,23.0,25.0,24.0,24.0
ALLE ĀN'ALLĀH,0.007246376811594202,22,0.9230769230769231,0.9230769230769231,33,0.07240159910172461,1.0833333333333333,1.0833333333333333,2,14,88,14,278,12.0,12.0,13.0,12.0,13.0,14.0,22.0,21.0,14.875,0.5194326403463136,17.0,20.0,12.0,22.0,17.0,17.0
VIERTER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,27,0.05883642555675604,1.2083333333333333,1.2083333333333333,2,44,312,58,1513,13.0,13.0,14.0,14.0,16.0,14.0,9.0,11.0,13.0,0.2672612419124244,12.0,9.0,15.0,10.0,12.5,12.0
ZWEITER AELTESTER,0.011198945981554678,23,0.96,0.96,65,0.1678108547960954,1.0416666666666667,1.0416666666666667,7,32,106,32,609,2.0,2.0,3.0,9.0,9.0,10.0,13.0,20.0,8.5,0.7763237542601484,10.0,23.0,9.0,15.0,12.0,10.0
ZWEITER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,27,0.05883642555675604,1.2083333333333333,1.2083333333333333,2,30,209,40,1032,13.0,13.0,14.0,14.0,16.0,14.0,14.0,13.0,13.875,0.12387890112063936,15.0,2.0,15.0,14.0,14.5,14.0
HĀKAWĀTI,0.011198945981554678,23,0.96,0.96,101,0.29407821736057715,1.0416666666666667,1.0416666666666667,15,80,1358,199,6902,2.0,2.0,3.0,6.0,6.0,8.0,8.0,8.0,5.375,0.3336586953759785,8.0,15.0,6.0,8.0,7.0,8.0
DRITTER AELTESTER,0.011198945981554678,23,0.96,0.96,58,0.14588412752764388,1.0416666666666667,1.0416666666666667,6,22,65,22,385,2.0,2.0,3.0,11.0,11.0,12.0,17.0,22.0,10.0,0.9161253813129043,11.0,24.0,11.0,20.0,15.5,16.0
KĀDI,0.011198945981554678,23,0.96,0.96,110,0.3032455881653183,1.0416666666666667,1.0416666666666667,17,162,2093,327,10396,2.0,2.0,3.0,5.0,5.0,6.0,3.0,3.0,3.625,0.18824257716346443,3.0,6.0,5.0,3.0,4.0,3.0
BIBEL,0.0,14,0.7058823529411765,0.7058823529411765,20,0.05441716989706551,1.4166666666666665,1.4166666666666665,4,27,585,88,2985,21.0,21.0,14.0,22.0,18.0,13.0,15.0,9.0,16.625,0.5783964131236342,22.0,21.0,22.0,12.0,17.0,17.0
IMĀM,0.011198945981554678,23,0.96,0.96,111,0.30421686728826336,1.0416666666666667,1.0416666666666667,17,139,2077,331,11212,2.0,2.0,3.0,4.0,4.0,6.0,4.0,4.0,3.625,0.1628087725786649,3.0,4.0,4.0,5.0,4.5,4.0
FÜNFTER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,25,0.05032528391839128,1.2083333333333333,1.2083333333333333,2,21,158,27,636,13.0,13.0,14.0,18.0,19.0,14.0,18.0,14.0,15.375,0.3129461101486051,18.0,12.0,18.0,17.0,17.5,19.0
DIE VIER SCHMIEDE,0.0,14,0.7058823529411765,0.7058823529411765,14,0.0349297569778626,1.4166666666666665,1.4166666666666665,1,4,14,4,82,21.0,21.0,14.0,23.0,23.0,23.0,23.0,23.0,21.375,0.38923861117388064,23.0,17.0,23.0,23.0,23.0,23.0
DRITTER SCHEIK,0.0,19,0.8275862068965517,0.8275862068965517,27,0.058836425556756056,1.2083333333333333,1.2083333333333333,2,27,130,31,602,13.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,14.125,0.12387890112063936,16.0,2.0,13.0,16.0,14.5,14.0
