,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,12,11,13,10,10,13,17,17,22.9,0.976,0.0036036,24.35,0.067,2.782,25.047,555.192
9,8,8,10,3,3,4,4,6,18.5,0.833,0.01094,9.375499999999999,0.025835,17.2,126.5,1682.3999999999999
8,3,4,1,3,3,3,2,1,14.1,0.6890000000000001,0.0182,98.85,0.14850000000000002,6.3999999999999995,177.10000000000002,2804.0
7,1,1,1,2,3,2,1,1,3.089,0.5455,0.06915,69.05,0.3125,24.4,75.9,10655.2
6,1,1,0,2,2,1,1,0,11.9,0.9279999999999999,0.02545,113.75,0.27149999999999996,10.0,480.7,3925.6
5,0,0,0,2,2,1,0,0,5.300000000000001,0.5934999999999999,0.03275,128.65,0.39449999999999996,13.600000000000001,227.7,5047.2
4,0,0,0,1,1,1,0,0,7.5,0.641,0.04005,39.25,0.10775,35.2,278.3,6168.8
3,0,0,0,1,1,0,0,0,9.7,0.737,0.04735,54.150000000000006,0.35350000000000004,20.8,328.9,7290.4
2,0,0,0,1,0,0,0,0,16.299999999999997,0.785,0.054599999999999996,143.55,0.1895,28.0,379.5,8412.0
1,0,0,0,0,0,0,0,0,20.700000000000003,0.8805000000000001,0.06185,83.95,0.23049999999999998,31.6,430.1,9533.599999999999
