,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,8,8,4,4,4,2,2,6.999499999999999,0.9999,-0.0001,16.7,0.40049999999999997,2.0495,36.444500000000005,792.9445000000001
9,0,0,0,2,2,4,2,2,6.9935,0.9991,-0.0009,11.297,0.2875,2.95,78.75,1757.85
8,0,0,0,2,2,0,1,2,6.995,0.9993,-0.0007,11.899999999999999,0.3,2.1500000000000004,57.650000000000006,3363.3500000000004
7,0,0,0,0,0,0,1,1,6.9965,0.9995,-0.0005,12.5,0.3125,2.25,163.14999999999998,1115.65
6,0,0,0,0,0,0,1,1,6.997999999999999,0.9997,-0.00030000000000000003,13.100000000000001,0.325,2.3499999999999996,205.35000000000002,3684.45
5,0,0,0,0,0,0,1,0,7.000500000000001,1.0001,0.0001,13.7,0.3375,2.45,226.45,1436.75
4,0,0,0,0,0,0,0,0,7.002000000000001,1.0003,0.00030000000000000003,14.3,0.35,2.55,99.85,2078.95
3,0,0,0,0,0,0,0,0,7.0035,1.0005,0.0005,14.899999999999999,0.3625,2.6500000000000004,120.95,2400.05
2,0,0,0,0,0,0,0,0,7.005,1.0007,0.0007,15.5,0.3755,2.75,142.05,2721.1499999999996
1,0,0,0,0,0,0,0,0,7.0065,1.0009,0.0009,16.1,0.388,2.8499999999999996,184.25,3042.25
