,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,2,2,2,2,2,1,2,1,2.0495,0.7625,0.0082665,6.297,0.3835,3.2475,84.6,435.345
9,2,2,2,2,2,1,1,1,2.95,0.9875,0.1585,11.7,0.5905,3.75,23.366,898.5
8,0,0,0,0,0,1,1,1,2.1500000000000004,0.7875000000000001,0.025,6.9,0.4065,6.75,71.0,1360.5
7,0,0,0,0,0,1,0,1,2.25,0.8125,0.041650000000000006,7.5,0.4295,7.75,30.200000000000003,2515.5
6,0,0,0,0,0,0,0,0,2.3499999999999996,0.8374999999999999,0.05835,8.1,0.4525,4.25,37.0,667.5
5,0,0,0,0,0,0,0,0,2.45,0.8625,0.075,8.7,0.47550000000000003,4.75,43.8,1129.5
4,0,0,0,0,0,0,0,0,2.55,0.8875,0.09165000000000001,9.3,0.4985,5.25,50.6,1591.5
3,0,0,0,0,0,0,0,0,2.6500000000000004,0.9125000000000001,0.10850000000000001,9.899999999999999,0.5215000000000001,5.75,57.4,1822.5
2,0,0,0,0,0,0,0,0,2.75,0.9375,0.125,10.5,0.5445,6.25,64.19999999999999,2053.5
1,0,0,0,0,0,0,0,0,2.8499999999999996,0.9624999999999999,0.14150000000000001,11.100000000000001,0.5675,7.25,77.80000000000001,2284.5
