name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
HAUPTMANN,0.0,4,0.4368932038834951,0.4368932038834951,4,0.010555442094546123,2.288888888888889,2.288888888888889,1,1,24,3,137,32.0,23.0,21.0,35.0,32.0,27.0,32.0,32.0,29.25,0.6258922202972101,33.0,14.0,29.0,33.0,31.0,28.0
THIBAUT,0.04327110319534562,13,0.5357142857142857,0.5357142857142857,15,0.0562067005261419,1.8666666666666667,1.8666666666666667,5,27,1517,208,8232,8.0,5.0,9.0,12.0,13.0,12.0,11.0,4.0,9.25,0.42125450400305176,9.0,7.0,10.0,9.0,9.5,8.0
KARL,0.055658104521740866,17,0.5357142857142857,0.5357142857142857,65,0.4140791618315312,1.8666666666666667,1.8666666666666667,18,113,3057,433,16516,3.0,5.0,8.0,3.0,2.0,3.0,2.0,2.0,3.5,0.25877458475338283,3.0,4.0,3.0,2.0,2.5,2.0
LOUISON,0.0,5,0.4205607476635514,0.4205607476635514,12,0.011542432752236823,2.3777777777777778,2.3777777777777778,4,15,265,39,1355,27.0,28.0,21.0,16.0,29.0,15.0,17.0,18.0,21.375,0.7225250242824021,19.0,18.0,23.0,15.0,19.0,16.0
TALBOT,0.23636363636363636,10,0.45,0.45,15,0.026407729405209912,2.2222222222222223,2.2222222222222223,5,28,940,131,5212,12.0,19.0,2.0,12.0,23.0,12.0,10.0,10.0,12.5,0.7849021777084254,13.0,26.0,12.0,11.0,11.5,12.0
VIELE STIMMEN,0.0,4,0.3813559322033898,0.3813559322033898,4,0.02343678112691762,2.6222222222222222,2.6222222222222222,1,1,6,1,40,32.0,35.0,21.0,35.0,24.0,27.0,32.0,38.0,30.5,0.7410176400445153,39.0,22.0,37.0,40.0,38.5,44.0
RAOUL,0.0,4,0.3813559322033898,0.3813559322033898,4,0.02343678112691762,2.6222222222222222,2.6222222222222222,1,2,412,55,2263,32.0,35.0,21.0,35.0,24.0,27.0,30.0,15.0,27.375,0.883725626053051,28.0,28.0,37.0,25.0,31.0,28.0
EDELKNECHT,0.0024411138805078194,8,0.45,0.45,13,0.09908407178043305,2.2222222222222223,2.2222222222222223,3,3,22,4,124,13.0,19.0,19.0,15.0,9.0,19.0,29.0,34.0,19.625,1.0284729925615799,17.0,32.0,14.0,29.0,21.5,19.0
RAIMOND,0.15336257457469576,12,0.5357142857142857,0.5357142857142857,16,0.04971785821431597,1.8666666666666667,1.8666666666666667,8,37,924,133,5096,10.0,5.0,3.0,11.0,16.0,9.0,8.0,12.0,9.25,0.5077524002897476,9.0,10.0,9.0,10.0,9.5,8.0
FÜNFTER,0.0,6,0.3237410071942446,0.3237410071942446,6,0.0006559938211543861,3.088888888888889,3.088888888888889,1,0,0,0,0,19.0,39.0,21.0,24.0,40.0,27.0,44.0,44.0,32.25,1.3190736738874207,43.0,43.0,29.0,44.0,36.5,42.0
RATSHERR,0.0,5,0.391304347826087,0.391304347826087,7,0.05933963058430186,2.5555555555555554,2.5555555555555554,2,6,223,31,1196,27.0,33.0,21.0,22.0,12.0,23.0,22.0,21.0,22.625,0.7408293494456061,22.0,20.0,22.0,21.0,21.5,19.0
BURGUND,0.13817722120752424,16,0.569620253164557,0.569620253164557,48,0.29679929889571866,1.7555555555555555,1.7555555555555555,12,53,1282,179,6953,4.0,3.0,4.0,6.0,6.0,6.0,4.0,6.0,4.875,0.15580293184477811,4.0,1.0,4.0,4.0,4.0,4.0
SOREL,0.03410692001601093,15,0.5232558139534884,0.5232558139534884,51,0.34508489394040115,1.911111111111111,1.911111111111111,13,35,1500,202,7936,6.0,10.0,11.0,4.0,4.0,4.0,9.0,5.0,6.625,0.36558111763523643,5.0,5.0,6.0,5.0,5.5,5.0
SCHWARZER RITTER,0.0,1,0.39823008849557523,0.39823008849557523,1,0.007260144171485625,2.511111111111111,2.511111111111111,1,6,155,20,813,45.0,31.0,21.0,45.0,35.0,27.0,22.0,24.0,31.25,1.2077687515177966,41.0,40.0,43.0,26.0,34.5,37.0
SCHILDWACHE,0.0,4,0.42452830188679247,0.42452830188679247,4,0.026687066892439427,2.3555555555555556,2.3555555555555556,1,2,6,2,46,32.0,26.0,21.0,35.0,21.0,27.0,30.0,38.0,28.75,0.7727213044078145,32.0,24.0,27.0,37.0,32.0,33.0
ERZBISCHOF,0.05798385677173556,16,0.5487804878048781,0.5487804878048781,43,0.27808648784313994,1.8222222222222222,1.8222222222222222,9,16,668,92,3659,4.0,4.0,7.0,7.0,7.0,8.0,16.0,13.0,8.25,0.525042515285327,7.0,12.0,5.0,14.0,9.5,8.0
BERTRAND,0.030043654437593836,7,0.44554455445544555,0.44554455445544555,14,0.019156261265459096,2.2444444444444445,2.2444444444444445,5,19,1018,144,5525,16.0,22.0,12.0,14.0,26.0,12.0,14.0,9.0,15.625,0.7069094582355346,15.0,17.0,18.0,12.0,15.0,14.0
SOLDATEN,0.0,4,0.45454545454545453,0.45454545454545453,4,0.009874821439356907,2.2,2.2,1,0,0,0,0,32.0,17.0,21.0,35.0,33.0,27.0,44.0,44.0,31.625,1.2209801025054772,42.0,41.0,28.0,44.0,36.0,40.0
FASTOLF,0.04159415500324591,8,0.5172413793103449,0.5172413793103449,12,0.04694192963759043,1.9333333333333331,1.9333333333333331,4,10,166,23,880,13.0,12.0,10.0,16.0,17.0,15.0,18.0,22.0,15.375,0.472160214182795,14.0,9.0,12.0,18.0,15.0,14.0
CHATILLON,0.0,5,0.3879310344827586,0.3879310344827586,5,0.03537247479833959,2.577777777777778,2.577777777777778,1,9,160,23,887,27.0,34.0,21.0,30.0,19.0,27.0,19.0,23.0,25.0,0.6781013409302687,24.0,15.0,26.0,23.0,24.5,23.0
ZWEITER,0.0,6,0.3237410071942446,0.3237410071942446,6,0.0006559938211543861,3.088888888888889,3.088888888888889,1,1,10,1,52,19.0,39.0,21.0,24.0,40.0,27.0,32.0,36.0,29.75,1.0215315882116842,35.0,31.0,29.0,37.0,33.0,35.0
EDELMANN,0.0,3,0.4090909090909091,0.4090909090909091,3,0.017507326665965297,2.444444444444444,2.444444444444444,1,1,24,3,125,38.0,30.0,21.0,40.0,27.0,27.0,32.0,32.0,30.875,0.7689205676048172,40.0,23.0,39.0,33.0,36.0,40.0
ANFÜHRER DER SOLDATEN,0.0,4,0.45454545454545453,0.45454545454545453,5,0.016978012476219217,2.2,2.2,2,1,6,1,28,32.0,17.0,21.0,30.0,28.0,23.0,32.0,38.0,27.625,0.8580956386091239,30.0,27.0,25.0,35.0,30.0,27.0
CLAUDE MARIE,0.01786399347005408,6,0.42452830188679247,0.42452830188679247,12,0.011317190806646484,2.3555555555555556,2.3555555555555556,4,5,71,12,388,19.0,26.0,16.0,16.0,31.0,15.0,25.0,28.0,22.0,0.7791937224739796,21.0,25.0,20.0,22.0,21.0,18.0
SOLDAT 2.5,0.0,6,0.3237410071942446,0.3237410071942446,6,0.0006559938211543861,3.088888888888889,3.088888888888889,1,1,6,1,36,19.0,39.0,21.0,24.0,40.0,27.0,32.0,38.0,30.0,1.0522085616183026,37.0,34.0,29.0,40.0,34.5,37.0
DUNOIS,0.07975682005985031,20,0.5769230769230769,0.5769230769230769,78,0.46452721385797396,1.7333333333333334,1.7333333333333334,22,65,2075,293,11139,2.0,2.0,6.0,1.0,1.0,2.0,3.0,3.0,2.5,0.2004459314343183,2.0,3.0,2.0,3.0,2.5,2.0
VIERTER,0.0,6,0.3237410071942446,0.3237410071942446,6,0.0006559938211543861,3.088888888888889,3.088888888888889,1,0,0,0,0,19.0,39.0,21.0,24.0,40.0,27.0,44.0,44.0,32.25,1.3190736738874207,43.0,43.0,29.0,44.0,36.5,42.0
KÖHLERBUB,0.0,2,0.26785714285714285,0.26785714285714285,2,5.205104953386782e-05,3.7333333333333334,3.7333333333333334,1,1,14,3,76,42.0,46.0,21.0,43.0,46.0,27.0,32.0,35.0,36.5,1.1630471062809844,46.0,39.0,46.0,36.0,41.0,46.0
JOHANNA,0.34251820009395756,28,0.6521739130434783,0.6521739130434783,70,0.32857441390617353,1.5333333333333332,1.5333333333333332,24,153,6636,919,36040,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.625,0.17598574414666987,1.0,2.0,1.0,1.0,1.0,1.0
LA HIRE,0.022860147708632553,15,0.5232558139534884,0.5232558139534884,50,0.34762712832789067,1.911111111111111,1.911111111111111,13,39,930,133,5039,6.0,10.0,13.0,5.0,3.0,4.0,6.0,11.0,7.25,0.45193038338727726,6.0,8.0,7.0,6.0,6.5,6.0
DU CHATEL,0.015943271094786247,13,0.5294117647058824,0.5294117647058824,33,0.23562632324002303,1.8888888888888888,1.8888888888888888,10,20,327,48,1674,8.0,9.0,18.0,8.0,8.0,7.0,12.0,16.0,10.75,0.5207738061220603,11.0,11.0,11.0,12.0,11.5,12.0
MARGOT,0.0,5,0.4205607476635514,0.4205607476635514,12,0.011542432752236823,2.3777777777777778,2.3777777777777778,4,18,244,37,1293,27.0,28.0,21.0,16.0,29.0,15.0,15.0,20.0,21.375,0.7408293494456061,19.0,20.0,23.0,15.0,19.0,16.0
ERSTER,0.0,6,0.3237410071942446,0.3237410071942446,6,0.0006559938211543861,3.088888888888889,3.088888888888889,1,1,6,1,29,19.0,39.0,21.0,24.0,40.0,27.0,32.0,38.0,30.0,1.0522085616183026,37.0,34.0,29.0,40.0,34.5,37.0
MONTGOMERY,0.0,1,0.39823008849557523,0.39823008849557523,1,0.007260144171485625,2.511111111111111,2.511111111111111,2,8,528,62,2920,45.0,31.0,21.0,45.0,35.0,23.0,21.0,14.0,29.375,1.4484250991532641,34.0,46.0,43.0,20.0,31.5,32.0
