name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
STRÄFLING,0.0,2,0.45714285714285713,0.45714285714285713,2,0.021352907970304147,2.1875,2.1875,1,1,18,0,101,49.0,48.0,20.0,49.0,49.0,20.0,39.0,37.0,38.875,1.5718470424949114,49.0,45.0,49.0,41.0,45.0,48.0
AUFSEHER,0.003365628166160081,15,0.5853658536585366,0.5853658536585366,18,0.10073301353920555,1.7083333333333335,1.7083333333333335,2,5,68,4,366,27.0,27.0,18.0,17.0,16.0,13.0,20.0,25.0,20.375,0.6679442743009544,25.0,23.0,27.0,20.0,23.5,25.0
VANZETTI,0.08929182913225465,37,0.8135593220338984,0.8135593220338984,63,0.35734696800875987,1.2291666666666665,1.2291666666666665,8,145,4840,89,28087,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.125,0.08010874305770696,1.0,2.0,2.0,1.0,1.5,1.0
HENDRY,0.0,13,0.5714285714285714,0.5714285714285714,13,0.0726864849453069,1.75,1.75,1,5,139,3,874,28.0,28.0,20.0,29.0,29.0,20.0,20.0,17.0,23.875,0.6318817560045776,28.0,20.0,29.0,19.0,24.0,26.0
SACCO,0.08929182913225465,37,0.8135593220338984,0.8135593220338984,63,0.35734696800875987,1.2291666666666665,1.2291666666666665,8,156,3523,95,20174,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.125,0.08010874305770696,1.0,2.0,2.0,1.0,1.5,1.0
LUIGIA,0.04351182255085572,27,0.6956521739130435,0.6956521739130435,36,0.1657664928580172,1.4375,1.4375,4,13,181,12,1036,6.0,6.0,6.0,7.0,9.0,8.0,12.0,15.0,8.625,0.4115383813032683,7.0,11.0,6.0,12.0,9.0,7.0
EIN POLIZEIKOMMISSAR,0.018225211976580873,24,0.6666666666666666,0.6666666666666666,32,0.18162625006564206,1.5,1.5,3,4,58,2,364,8.0,8.0,10.0,8.0,8.0,10.0,26.0,29.0,13.375,1.0997919852018772,11.0,35.0,8.0,23.0,15.5,15.0
EIN DRITTER ARBEITER,0.0,11,0.5647058823529412,0.5647058823529412,11,0.07236304145890751,1.7708333333333333,1.7708333333333333,1,1,6,1,38,33.0,33.0,20.0,33.0,33.0,20.0,39.0,45.0,32.0,1.0669549461635468,39.0,34.0,33.0,45.0,39.0,41.0
AMERIKANISCHER ARBEITER,0.0,9,0.5393258426966292,0.5393258426966292,9,0.04176139223569408,1.8541666666666667,1.8541666666666667,1,1,67,0,455,36.0,36.0,20.0,36.0,38.0,20.0,39.0,26.0,31.375,1.0065355628519612,37.0,32.0,38.0,32.0,35.0,37.0
KATZMANN,0.026347269027963645,24,0.6666666666666666,0.6666666666666666,38,0.2293520723443717,1.5,1.5,5,73,2546,27,15772,8.0,8.0,8.0,6.0,6.0,6.0,3.0,4.0,6.125,0.23563648607851156,6.0,6.0,7.0,3.0,5.0,5.0
EIN JOURNALIST,0.01924226273627869,26,0.6857142857142857,0.6857142857142857,30,0.16147115779207033,1.4583333333333333,1.4583333333333333,2,7,72,5,450,7.0,7.0,9.0,10.0,10.0,13.0,15.0,23.0,11.75,0.6639640158063645,10.0,22.0,9.0,16.0,12.5,11.0
EIN ARZT,0.0,13,0.5714285714285714,0.5714285714285714,13,0.0726864849453069,1.75,1.75,1,3,27,3,144,28.0,28.0,20.0,29.0,29.0,20.0,31.0,35.0,27.5,0.6443435197381684,31.0,21.0,29.0,36.0,32.5,31.0
DIREKTOR,0.0,5,0.5,0.5,5,0.03096884193228933,2.0,2.0,1,2,11,2,69,44.0,46.0,20.0,44.0,43.0,20.0,33.0,40.0,36.25,1.347534123607159,47.0,41.0,46.0,39.0,42.5,47.0
SEKRETÄR,0.00404670531978104,13,0.5714285714285714,0.5714285714285714,16,0.07683747054500123,1.75,1.75,2,5,115,2,780,28.0,28.0,17.0,28.0,28.0,13.0,20.0,19.0,22.625,0.7616286004346213,26.0,26.0,28.0,18.0,23.0,24.0
BEFFEL,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,4,101,3,671,14.0,14.0,20.0,19.0,19.0,20.0,26.0,20.0,19.0,0.47715675771026383,22.0,14.0,17.0,24.0,20.5,20.0
KOMMISSAR,0.012804840262991075,16,0.6,0.6,30,0.21304691309786497,1.6666666666666667,1.6666666666666667,5,16,245,12,1543,25.0,24.0,13.0,10.0,7.0,6.0,11.0,13.0,13.625,0.8962658147638376,12.0,30.0,15.0,9.0,12.0,10.0
MUSMANNO,0.03139071822582461,24,0.6575342465753424,0.6575342465753424,32,0.15499545144014393,1.5208333333333335,1.5208333333333335,4,24,929,12,5889,8.0,10.0,7.0,8.0,11.0,8.0,9.0,8.0,8.625,0.1628087725786649,7.0,4.0,10.0,8.0,9.0,7.0
EINE FRAU,0.014139276183824056,17,0.6075949367088608,0.6075949367088608,18,0.09796151550195617,1.6458333333333333,1.6458333333333333,2,4,56,4,296,14.0,14.0,12.0,17.0,18.0,13.0,26.0,30.0,18.0,0.8210402808980464,18.0,28.0,14.0,28.0,21.0,21.0
EIN ARBEITER (9),0.0,11,0.5647058823529412,0.5647058823529412,11,0.07236304145890751,1.7708333333333333,1.7708333333333333,1,2,30,1,147,33.0,33.0,20.0,33.0,33.0,20.0,33.0,32.0,29.625,0.7438362795093324,34.0,25.0,33.0,32.0,32.5,31.0
EIN POLIZIST,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,1,2,1,7,14.0,14.0,20.0,19.0,19.0,20.0,39.0,49.0,24.25,1.5892355529804707,29.0,46.0,17.0,49.0,33.0,34.0
EIN ANDERER ARBEITER (9),0.0,11,0.5647058823529412,0.5647058823529412,11,0.07236304145890751,1.7708333333333333,1.7708333333333333,1,1,8,1,48,33.0,33.0,20.0,33.0,33.0,20.0,39.0,43.0,31.75,1.0149551362357987,38.0,33.0,33.0,43.0,38.0,39.0
VORSITZENDER,0.0,3,0.5,0.5,3,0.025596724584059805,2.0,2.0,1,1,729,0,4755,48.0,46.0,20.0,48.0,48.0,20.0,39.0,9.0,34.75,1.9874045349938914,41.0,49.0,47.0,26.0,36.5,38.0
GEISTLICHER,0.0,13,0.5714285714285714,0.5714285714285714,13,0.0726864849453069,1.75,1.75,1,5,63,4,340,28.0,28.0,20.0,29.0,29.0,20.0,20.0,27.0,25.125,0.5363463533149878,30.0,17.0,29.0,25.0,27.0,28.0
THAYER,0.046720041672912445,30,0.7272727272727273,0.7272727272727273,46,0.25733161542854965,1.375,1.375,6,69,1534,39,9514,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,0.0668153104781061,5.0,1.0,5.0,5.0,5.0,5.0
LOLA ANDREWS,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,6,72,5,368,14.0,14.0,20.0,19.0,19.0,20.0,18.0,23.0,18.375,0.3834610941337931,20.0,10.0,17.0,22.0,19.5,19.0
MCANARNEY,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,10,388,2,2280,14.0,14.0,20.0,19.0,19.0,20.0,14.0,11.0,16.375,0.43781876142662374,16.0,12.0,17.0,13.0,15.0,14.0
MOORE,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,5,125,0,810,14.0,14.0,20.0,19.0,19.0,20.0,20.0,18.0,18.0,0.32043497223082784,18.0,7.0,17.0,20.0,18.5,18.0
FRAU JOHNSON,0.0,5,0.5274725274725275,0.5274725274725275,5,0.04021393358498378,1.8958333333333333,1.8958333333333333,1,2,11,2,60,44.0,41.0,20.0,44.0,39.0,20.0,33.0,40.0,35.125,1.2436221219256505,42.0,40.0,44.0,39.0,41.5,43.0
EIN LAKAI,0.0,9,0.5393258426966292,0.5393258426966292,9,0.041761392235694084,1.8541666666666667,1.8541666666666667,1,2,30,1,189,36.0,36.0,20.0,36.0,36.0,20.0,33.0,32.0,31.125,0.8799287207333493,36.0,29.0,36.0,32.0,34.0,36.0
FULLER,0.01741500073594879,18,0.6153846153846154,0.6153846153846154,21,0.10400115854945921,1.625,1.625,3,56,2463,22,15274,11.0,11.0,11.0,13.0,15.0,10.0,5.0,5.0,10.125,0.4403605462734891,9.0,13.0,11.0,7.0,9.0,7.0
LEVANGIE,0.0011081560283687942,18,0.6153846153846154,0.6153846153846154,22,0.13450176959773946,1.625,1.625,2,11,81,10,400,11.0,11.0,19.0,12.0,12.0,13.0,13.0,21.0,14.0,0.47715675771026383,13.0,14.0,13.0,14.0,13.5,12.0
EIN ARBEITER (5),0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,1,8,1,36,14.0,14.0,20.0,19.0,19.0,20.0,39.0,43.0,23.5,1.3903365471301234,27.0,44.0,17.0,43.0,30.0,29.0
SIBLEY,0.0,17,0.6075949367088608,0.6075949367088608,17,0.09346899560131426,1.6458333333333333,1.6458333333333333,1,4,79,3,501,14.0,14.0,20.0,19.0,19.0,20.0,26.0,22.0,19.25,0.4943881499966831,23.0,16.0,17.0,26.0,21.5,22.0
STENOTYPISTIN,0.0,4,0.4444444444444444,0.4444444444444444,4,0.026332218928560972,2.25,2.25,1,6,29,6,156,47.0,49.0,20.0,47.0,47.0,20.0,18.0,34.0,35.25,1.7471277449410667,43.0,48.0,47.0,30.0,38.5,40.0
MADEIROS,0.004737952281170364,16,0.6,0.6,20,0.11711396814335509,1.6666666666666667,1.6666666666666667,3,20,522,11,2941,25.0,24.0,16.0,14.0,13.0,10.0,10.0,10.0,15.25,0.7640061237600502,15.0,27.0,26.0,9.0,17.5,17.0
THOMPSON,0.08611773954155055,38,0.8275862068965517,0.8275862068965517,60,0.32370993095108125,1.2083333333333333,1.2083333333333333,7,49,2822,17,17751,2.0,2.0,4.0,4.0,4.0,4.0,6.0,3.0,3.625,0.1628087725786649,4.0,4.0,4.0,3.0,3.5,4.0
