,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,3,4,9,4,10,3,2,2.0495,0.3355,0.2535,2.0495,0.09285,1.95,74.5,616.25
9,2,2,2,2,2,1,3,2,2.95,0.3465,0.1735,2.95,0.1845,1.0495,179.5,1599.0500000000002
8,0,2,2,0,2,0,2,2,2.1500000000000004,0.3565,0.2,2.1500000000000004,0.276,1.15,200.5,1844.75
7,0,2,2,0,2,0,1,2,2.25,0.3715,0.22649999999999998,2.25,0.5045,1.25,11.395,2336.15
6,0,2,1,0,1,0,1,1,2.3499999999999996,0.382,0.0132165,2.3499999999999996,0.45899999999999996,1.35,137.5,123.6215
5,0,0,0,0,0,0,1,1,2.45,0.34099999999999997,0.04,2.45,0.139,1.45,158.5,861.95
4,0,0,0,0,0,0,0,1,2.55,0.3515,0.06665,2.55,0.22999999999999998,1.55,32.5,2090.45
3,0,0,0,0,0,0,0,0,2.6500000000000004,0.3615,0.0935,2.6500000000000004,0.32199999999999995,1.65,53.5,370.54999999999995
2,0,0,0,0,0,0,0,0,2.75,0.3665,0.12,2.75,0.3675,1.75,95.5,1107.65
1,0,0,0,0,0,0,0,0,2.8499999999999996,0.3765,0.14650000000000002,2.8499999999999996,0.41300000000000003,1.85,116.5,1353.35
