,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,11,5,5,7,8,7,6.4,0.5720000000000001,0.0172755,4.3165000000000004,0.02926,2.4354999999999998,16.1075,198.11
9,3,3,3,2,3,2,2,3,1.594,0.6965,0.0523,11.05,0.4105,8.25,101.75,3602.0
8,3,2,1,2,2,2,2,2,8.8,0.489,0.22649999999999998,17.75,0.07715,19.85,130.25,1334.0
7,2,2,1,2,2,1,1,1,2.8,0.6134999999999999,0.3315,31.15,0.22,5.35,73.25,578.0
6,2,1,0,2,1,1,1,1,12.4,0.5305,0.08735,51.25,0.125,11.149999999999999,158.75,1712.0
5,1,1,0,1,1,1,1,1,4.0,0.655,0.122,24.450000000000003,0.1725,16.95,187.25,2468.0
4,0,1,0,1,1,1,1,1,5.199999999999999,0.8205,0.1565,44.55,0.26749999999999996,22.75,272.75,2846.0
3,0,1,0,1,1,1,0,0,7.6,0.8614999999999999,0.1915,64.65,0.45799999999999996,28.55,44.75,956.0
2,0,0,0,0,0,0,0,0,10.0,0.7375,0.2615,37.85,0.315,14.05,215.75,2090.0
1,0,0,0,0,0,0,0,0,11.2,0.779,0.2965,57.95,0.363,25.65,244.25,3224.0
