,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,7,7,7,2,1,1,2,3,5.999499999999999,0.9999,-0.0001,24.25,0.2475,7.7425,174.45,1767.992
9,0,0,0,1,1,1,2,1,5.9945,0.9991,-0.0009,18.435499999999998,0.278,9.25,355.95000000000005,2332.3999999999996
8,0,0,0,1,1,1,1,1,5.9955,0.9993,-0.0007,21.35,0.308,10.75,137.9685,5140.4
7,0,0,0,1,1,1,1,1,5.997,0.9995,-0.0005,27.15,0.33799999999999997,12.25,247.05,6263.6
6,0,0,0,1,1,1,1,1,5.9985,0.9997,-0.00030000000000000003,35.849999999999994,0.3685,13.75,464.85,6825.2
5,0,0,0,1,1,1,0,0,6.000500000000001,1.0001,0.0001,44.55,0.45899999999999996,16.75,210.75,2894.0
4,0,0,0,0,1,1,0,0,6.0015,1.0003,0.00030000000000000003,30.05,0.52,21.25,283.35,3455.6000000000004
3,0,0,0,0,0,0,0,0,6.003,1.0005,0.0005,32.95,0.399,15.25,319.65,4017.2
2,0,0,0,0,0,0,0,0,6.0045,1.0007,0.0007,38.75,0.429,18.25,392.25,4578.8
1,0,0,0,0,0,0,0,0,6.0055,1.0009,0.0009,41.650000000000006,0.4895,19.75,428.54999999999995,5702.0
