,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,5,14,9,7,10,11,11,3.25,0.5415000000000001,0.008712000000000001,4.465,0.03066,2.2375,5.999499999999999,110.831
9,3,3,2,3,3,3,2,3,6.25,0.4635,0.02635,32.5,0.0796,4.75,16.15,539.5
8,3,3,2,2,3,3,2,2,15.25,0.5805,0.11399999999999999,18.5,0.2255,9.75,26.25,325.70000000000005
7,2,3,2,2,2,1,2,2,1.7425,0.6194999999999999,0.16699999999999998,25.5,0.1765,7.25,46.45,753.3
6,2,3,1,1,1,1,1,1,4.75,0.8135,0.06145,11.5,0.128,12.25,36.35,967.1
5,2,2,0,1,1,1,1,1,9.25,0.6975,0.043899999999999995,39.5,0.274,14.75,56.55,1180.9
4,2,2,0,1,1,1,1,1,10.75,0.775,0.079,53.5,0.3225,17.25,66.65,2036.1
3,2,0,0,1,1,1,1,0,13.75,0.5025,0.0964,60.5,0.371,24.75,96.95,1394.6999999999998
2,1,0,0,1,1,0,0,0,7.75,0.6585000000000001,0.1315,67.5,0.4195,19.75,76.75,1608.5
1,0,0,0,0,1,0,0,0,12.25,0.7364999999999999,0.14900000000000002,46.5,0.4685,22.25,86.85,1822.3000000000002
