name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0,4,0.625,0.625,4,0.1262594302024544,1.6,1.6,1,1,5,1,32,11.0,11.0,8.0,11.0,11.0,8.0,11.0,11.0,10.25,0.1735912687073534,11.0,7.0,11.0,11.0,11.0,11.0
ERIK,0.027407407407407408,9,0.9090909090909091,0.9090909090909091,12,0.3582554263932642,1.1,1.1,2,35,681,100,3564,2.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,2.875,0.1695253352325672,4.0,6.0,2.0,4.0,3.0,3.0
CHOR DER MANNSCHAFT DES FLIEGENDEN HOLLÄNDERS,0.0,7,0.7692307692307693,0.7692307692307693,7,0.22218303871989473,1.2999999999999998,1.2999999999999998,1,3,171,35,883,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.25,0.057863756235784464,8.0,1.0,8.0,9.0,8.5,8.0
MARY,0.0,5,0.6666666666666666,0.6666666666666666,5,0.16667384418268902,1.5,1.5,1,26,336,54,1790,10.0,10.0,8.0,10.0,10.0,8.0,6.0,7.0,8.625,0.1997487260821169,10.0,8.0,10.0,8.0,9.0,9.0
STEUERMANN,0.03888888888888889,9,0.9090909090909091,0.9090909090909091,11,0.321021440159343,1.1,1.1,2,12,236,38,1158,2.0,2.0,2.0,5.0,5.0,2.0,8.0,8.0,4.25,0.3324019726604694,6.0,11.0,5.0,7.0,6.0,6.0
CHOR DER NORWEGISCHEN MATROSEN,0.0,7,0.7692307692307693,0.7692307692307693,7,0.22218303871989473,1.2999999999999998,1.2999999999999998,1,3,162,37,892,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.375,0.09300297614285562,9.0,2.0,8.0,10.0,9.0,9.0
SENTA,0.027407407407407408,9,0.9090909090909091,0.9090909090909091,12,0.35825542639326413,1.1,1.1,2,46,1012,148,5114,2.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,2.375,0.1484668673956776,2.0,5.0,3.0,1.0,2.0,2.0
MÄDCHEN,0.027407407407407408,9,0.9090909090909091,0.9090909090909091,12,0.35825542639326413,1.1,1.1,2,45,903,147,4569,2.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,2.625,0.13258252147247765,3.0,3.0,3.0,3.0,3.0,3.0
MATROSEN,0.03888888888888889,9,0.9090909090909091,0.9090909090909091,11,0.321021440159343,1.1,1.1,2,19,391,65,2080,2.0,2.0,2.0,5.0,5.0,2.0,7.0,6.0,3.875,0.2625212576426635,5.0,10.0,5.0,6.0,5.5,5.0
DALAND,0.036666666666666674,8,0.8333333333333334,0.8333333333333334,9,0.269880550795531,1.2,1.2,2,27,894,121,4660,7.0,7.0,4.0,7.0,7.0,2.0,5.0,4.0,5.375,0.2403262291731209,7.0,9.0,7.0,5.0,6.0,6.0
HOLLÄNDER,0.07,10,1.0,1.0,16,0.439956687820959,1.0,1.0,3,29,1193,171,6405,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.375,0.13258252147247765,1.0,3.0,1.0,2.0,1.5,1.0
